dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,43,      13.064602
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,44,      12.869815
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,45,      13.320730
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,46,      12.950254
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,47,      13.193431
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,48,      13.068252
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,49,      13.285901
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,50,      13.196682
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,51,      13.198202
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,52,      13.017883
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,53,      13.040503
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,54,      12.923074
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,55,      13.212530
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,56,      13.238761
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,57,      12.847016
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,58,      13.085532
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,59,      12.975903
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,60,      13.117012
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,61,      13.219851
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,62,      13.243411
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,63,      13.078842
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,64,      13.024143
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,65,      13.015883
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,66,      12.820565
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,67,      12.944114
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,68,      13.144692
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,69,      12.728556
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,70,      13.013203
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,71,      13.153061
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,72,      12.774656
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | P | P",256,73,      12.970194
