dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",256,18,      53.083002
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",256,19,      53.648676
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",256,20,      53.054302
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",256,21,      53.411149
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",256,22,      52.668437
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",256,23,      53.426418
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",256,24,      53.782224
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",256,25,      52.936254
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",256,26,      53.751105
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",256,27,      53.406009
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",256,28,      53.675576
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",256,29,      52.903294
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",256,30,      52.569867
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",256,31,      52.711596
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",256,32,      53.859043
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",256,33,      52.954653
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",256,34,      53.779955
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",256,35,      53.861123
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",256,36,      53.577746
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",256,37,      52.118623
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",256,38,      52.902914
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",256,39,      52.721856
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",256,40,      53.314090
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",256,41,      53.024353
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",256,42,      55.934501
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",256,43,      53.380549
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",256,44,      53.748155
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",256,45,      53.472848
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",256,46,      53.155781
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",256,47,      53.115651
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",256,48,      53.171991
3,double,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",256,49,      53.508327
