dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"D | D | D | D | D | D",320,40,     175.848471
3,float,uniform,PoisFFT,"D | D | D | D | D | D",320,41,     175.537514
3,float,uniform,PoisFFT,"D | D | D | D | D | D",320,42,     175.823542
3,float,uniform,PoisFFT,"D | D | D | D | D | D",320,43,     175.724282
3,float,uniform,PoisFFT,"D | D | D | D | D | D",320,44,     176.012549
3,float,uniform,PoisFFT,"D | D | D | D | D | D",320,45,     175.862281
3,float,uniform,PoisFFT,"D | D | D | D | D | D",320,46,     175.745812
3,float,uniform,PoisFFT,"D | D | D | D | D | D",320,47,     175.973489
3,float,uniform,PoisFFT,"D | D | D | D | D | D",320,48,     175.816341
3,float,uniform,PoisFFT,"D | D | D | D | D | D",320,49,     175.831941
3,float,uniform,PoisFFT,"D | D | D | D | D | D",320,50,     175.755232
3,float,uniform,PoisFFT,"D | D | D | D | D | D",320,51,     175.866611
3,float,uniform,PoisFFT,"D | D | D | D | D | D",320,52,     175.832781
3,float,uniform,PoisFFT,"D | D | D | D | D | D",320,53,     175.767542
3,float,uniform,PoisFFT,"D | D | D | D | D | D",320,54,     175.760282
3,float,uniform,PoisFFT,"D | D | D | D | D | D",320,55,     175.700072
3,float,uniform,PoisFFT,"D | D | D | D | D | D",320,56,     175.919981
3,float,uniform,PoisFFT,"D | D | D | D | D | D",320,57,     175.831951
3,float,uniform,PoisFFT,"D | D | D | D | D | D",320,58,     175.827221
3,float,uniform,PoisFFT,"D | D | D | D | D | D",320,59,     175.736862
3,float,uniform,PoisFFT,"D | D | D | D | D | D",320,60,     176.059729
3,float,uniform,PoisFFT,"D | D | D | D | D | D",320,61,     176.048159
