dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
2,double,uniform,PoisFFT,"D | D | D | D",320,19,      12.826535
2,double,uniform,PoisFFT,"D | D | D | D",320,20,      12.820974
2,double,uniform,PoisFFT,"D | D | D | D",320,21,      12.815764
2,double,uniform,PoisFFT,"D | D | D | D",320,22,      12.817604
2,double,uniform,PoisFFT,"D | D | D | D",320,23,      12.812614
2,double,uniform,PoisFFT,"D | D | D | D",320,24,      12.815635
2,double,uniform,PoisFFT,"D | D | D | D",320,25,      12.828114
2,double,uniform,PoisFFT,"D | D | D | D",320,26,      12.817934
2,double,uniform,PoisFFT,"D | D | D | D",320,27,      12.816055
2,double,uniform,PoisFFT,"D | D | D | D",320,28,      12.808544
2,double,uniform,PoisFFT,"D | D | D | D",320,29,      12.816524
2,double,uniform,PoisFFT,"D | D | D | D",320,30,      12.821975
2,double,uniform,PoisFFT,"D | D | D | D",320,31,      12.820595
2,double,uniform,PoisFFT,"D | D | D | D",320,32,      12.817994
2,double,uniform,PoisFFT,"D | D | D | D",320,33,      12.817914
2,double,uniform,PoisFFT,"D | D | D | D",320,34,      12.812195
2,double,uniform,PoisFFT,"D | D | D | D",320,35,      12.807384
2,double,uniform,PoisFFT,"D | D | D | D",320,36,      12.823795
2,double,uniform,PoisFFT,"D | D | D | D",320,37,      12.835154
2,double,uniform,PoisFFT,"D | D | D | D",320,38,      12.810934
2,double,uniform,PoisFFT,"D | D | D | D",320,39,      12.815935
2,double,uniform,PoisFFT,"D | D | D | D",320,40,      12.815914
2,double,uniform,PoisFFT,"D | D | D | D",320,41,      12.809354
2,double,uniform,PoisFFT,"D | D | D | D",320,42,      12.820385
2,double,uniform,PoisFFT,"D | D | D | D",320,43,      12.826734
2,double,uniform,PoisFFT,"D | D | D | D",320,44,      12.819284
2,double,uniform,PoisFFT,"D | D | D | D",320,45,      12.828904
2,double,uniform,PoisFFT,"D | D | D | D",320,46,      12.819915
2,double,uniform,PoisFFT,"D | D | D | D",320,47,      12.808885
2,double,uniform,PoisFFT,"D | D | D | D",320,48,      12.815874
2,double,uniform,PoisFFT,"D | D | D | D",320,49,      12.818955
2,double,uniform,PoisFFT,"D | D | D | D",320,50,      12.816504
2,double,uniform,PoisFFT,"D | D | D | D",320,51,      12.816624
2,double,uniform,PoisFFT,"D | D | D | D",320,52,      12.824295
2,double,uniform,PoisFFT,"D | D | D | D",320,53,      12.811914
2,double,uniform,PoisFFT,"D | D | D | D",320,54,      12.819134
2,double,uniform,PoisFFT,"D | D | D | D",320,55,      12.819434
2,double,uniform,PoisFFT,"D | D | D | D",320,56,      12.812134
2,double,uniform,PoisFFT,"D | D | D | D",320,57,      12.818155
2,double,uniform,PoisFFT,"D | D | D | D",320,58,      12.810074
2,double,uniform,PoisFFT,"D | D | D | D",320,59,      12.810604
2,double,uniform,PoisFFT,"D | D | D | D",320,60,      12.812655
2,double,uniform,PoisFFT,"D | D | D | D",320,61,      12.824414
2,double,uniform,PoisFFT,"D | D | D | D",320,62,      12.818924
