dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"D | D | D | D | N | D",192,69,      20.824178
3,double,uniform,PoisFFT,"D | D | D | D | N | D",192,70,      20.709228
3,double,uniform,PoisFFT,"D | D | D | D | N | D",192,71,      20.940667
3,double,uniform,PoisFFT,"D | D | D | D | N | D",192,72,      20.648699
3,double,uniform,PoisFFT,"D | D | D | D | N | D",192,73,      20.632150
3,double,uniform,PoisFFT,"D | D | D | D | N | D",192,74,      20.611300
3,double,uniform,PoisFFT,"D | D | D | D | N | D",256,0,      53.108693
3,double,uniform,PoisFFT,"D | D | D | D | N | D",256,1,      53.130043
3,double,uniform,PoisFFT,"D | D | D | D | N | D",256,2,      53.019714
3,double,uniform,PoisFFT,"D | D | D | D | N | D",256,3,      52.807336
3,double,uniform,PoisFFT,"D | D | D | D | N | D",256,4,      53.038673
3,double,uniform,PoisFFT,"D | D | D | D | N | D",256,5,      53.131922
3,double,uniform,PoisFFT,"D | D | D | D | N | D",256,6,      53.140193
3,double,uniform,PoisFFT,"D | D | D | D | N | D",256,7,      52.836785
3,double,uniform,PoisFFT,"D | D | D | D | N | D",256,8,      53.115132
3,double,uniform,PoisFFT,"D | D | D | D | N | D",256,9,      53.081613
3,double,uniform,PoisFFT,"D | D | D | D | N | D",256,10,      52.976814
3,double,uniform,PoisFFT,"D | D | D | D | N | D",256,11,      59.071389
3,double,uniform,PoisFFT,"D | D | D | D | N | D",256,12,      53.111123
3,double,uniform,PoisFFT,"D | D | D | D | N | D",256,13,      53.166383
3,double,uniform,PoisFFT,"D | D | D | D | N | D",256,14,      53.209062
3,double,uniform,PoisFFT,"D | D | D | D | N | D",256,15,      53.192792
3,double,uniform,PoisFFT,"D | D | D | D | N | D",256,16,      53.091583
3,double,uniform,PoisFFT,"D | D | D | D | N | D",256,17,      53.071643
3,double,uniform,PoisFFT,"D | D | D | D | N | D",256,18,      52.853095
3,double,uniform,PoisFFT,"D | D | D | D | N | D",256,19,      52.821406
3,double,uniform,PoisFFT,"D | D | D | D | N | D",256,20,      52.985024
3,double,uniform,PoisFFT,"D | D | D | D | N | D",256,21,      52.923495
3,double,uniform,PoisFFT,"D | D | D | D | N | D",256,22,      52.974884
3,double,uniform,PoisFFT,"D | D | D | D | N | D",256,23,      52.977394
3,double,uniform,PoisFFT,"D | D | D | D | N | D",256,24,      52.975124
3,double,uniform,PoisFFT,"D | D | D | D | N | D",256,25,      53.000654
3,double,uniform,PoisFFT,"D | D | D | D | N | D",256,26,      52.930515
3,double,uniform,PoisFFT,"D | D | D | D | N | D",256,27,      52.989294
3,double,uniform,PoisFFT,"D | D | D | D | N | D",256,28,      53.156812
3,double,uniform,PoisFFT,"D | D | D | D | N | D",256,29,      53.153612
3,double,uniform,PoisFFT,"D | D | D | D | N | D",256,30,      52.892804
3,double,uniform,PoisFFT,"D | D | D | D | N | D",256,31,      52.856435
3,double,uniform,PoisFFT,"D | D | D | D | N | D",256,32,      52.953724
3,double,uniform,PoisFFT,"D | D | D | D | N | D",256,33,      53.095653
3,double,uniform,PoisFFT,"D | D | D | D | N | D",256,34,      53.237102
3,double,uniform,PoisFFT,"D | D | D | D | N | D",256,35,      52.994834
3,double,uniform,PoisFFT,"D | D | D | D | N | D",256,36,      53.234361
3,double,uniform,PoisFFT,"D | D | D | D | N | D",256,37,      53.216562
3,double,uniform,PoisFFT,"D | D | D | D | N | D",256,38,      53.001844
3,double,uniform,PoisFFT,"D | D | D | D | N | D",256,39,      52.955085
3,double,uniform,PoisFFT,"D | D | D | D | N | D",256,40,      53.054283
3,double,uniform,PoisFFT,"D | D | D | D | N | D",256,41,      53.005674
3,double,uniform,PoisFFT,"D | D | D | D | N | D",256,42,      54.452779
3,double,uniform,PoisFFT,"D | D | D | D | N | D",256,43,      52.888325
3,double,uniform,PoisFFT,"D | D | D | D | N | D",256,44,      52.907045
3,double,uniform,PoisFFT,"D | D | D | D | N | D",256,45,      52.805496
3,double,uniform,PoisFFT,"D | D | D | D | N | D",256,46,      53.076303
3,double,uniform,PoisFFT,"D | D | D | D | N | D",256,47,      53.012493
3,double,uniform,PoisFFT,"D | D | D | D | N | D",256,48,      53.034844
3,double,uniform,PoisFFT,"D | D | D | D | N | D",256,49,      53.131052
3,double,uniform,PoisFFT,"D | D | D | D | N | D",256,50,      53.162043
3,double,uniform,PoisFFT,"D | D | D | D | N | D",256,51,      53.218462
3,double,uniform,PoisFFT,"D | D | D | D | N | D",256,52,      52.968464
3,double,uniform,PoisFFT,"D | D | D | D | N | D",256,53,      53.309371
3,double,uniform,PoisFFT,"D | D | D | D | N | D",256,54,      52.983814
3,double,uniform,PoisFFT,"D | D | D | D | N | D",256,55,      53.397969
3,double,uniform,PoisFFT,"D | D | D | D | N | D",256,56,      53.213271
3,double,uniform,PoisFFT,"D | D | D | D | N | D",256,57,      52.990634
3,double,uniform,PoisFFT,"D | D | D | D | N | D",256,58,      53.087133
3,double,uniform,PoisFFT,"D | D | D | D | N | D",256,59,      53.418500
3,double,uniform,PoisFFT,"D | D | D | D | N | D",256,60,      53.374330
3,double,uniform,PoisFFT,"D | D | D | D | N | D",256,61,      53.119133
3,double,uniform,PoisFFT,"D | D | D | D | N | D",256,62,      53.160882
3,double,uniform,PoisFFT,"D | D | D | D | N | D",256,63,      53.183103
3,double,uniform,PoisFFT,"D | D | D | D | N | D",256,64,      53.032473
3,double,uniform,PoisFFT,"D | D | D | D | N | D",256,65,      53.000614
3,double,uniform,PoisFFT,"D | D | D | D | N | D",256,66,      52.917985
3,double,uniform,PoisFFT,"D | D | D | D | N | D",256,67,      53.083423
3,double,uniform,PoisFFT,"D | D | D | D | N | D",256,68,      53.106253
3,double,uniform,PoisFFT,"D | D | D | D | N | D",256,69,      53.057393
3,double,uniform,PoisFFT,"D | D | D | D | N | D",256,70,      53.144122
3,double,uniform,PoisFFT,"D | D | D | D | N | D",256,71,      52.918585
3,double,uniform,PoisFFT,"D | D | D | D | N | D",256,72,      52.985914
3,double,uniform,PoisFFT,"D | D | D | D | N | D",256,73,      52.784676
3,double,uniform,PoisFFT,"D | D | D | D | N | D",256,74,      52.808006
3,double,uniform,PoisFFT,"D | D | D | D | N | D",320,0,     143.093082
3,double,uniform,PoisFFT,"D | D | D | D | N | D",320,1,     143.173291
3,double,uniform,PoisFFT,"D | D | D | D | N | D",320,2,     142.973253
3,double,uniform,PoisFFT,"D | D | D | D | N | D",320,3,     143.370589
3,double,uniform,PoisFFT,"D | D | D | D | N | D",320,4,     142.954944
3,double,uniform,PoisFFT,"D | D | D | D | N | D",320,5,     142.995913
