dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",448,11,3.76138,0.002997,28.1165,4.30899,36.3248,36.1899
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",448,12,3.76,0.003222,28.1177,4.2967,36.3118,36.1776
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",448,13,3.75782,0.003027,28.1065,4.29978,36.3022,36.1672
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",448,14,3.75949,0.003253,28.1204,4.2967,36.316,36.1799
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",448,15,3.75955,0.002997,28.0508,4.30182,36.2508,36.1152
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",448,16,3.75978,0.003244,28.0392,4.29261,36.2303,36.0949
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",448,17,3.75923,0.003042,28.037,4.29261,36.2271,36.0919
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",448,18,3.75725,0.002977,28.0463,4.3008,36.243,36.1074
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",448,19,3.75898,0.003,28.0422,4.28954,36.229,36.0937
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",512,0,5.54426,0.003309,45.4186,5.94534,57.0422,56.9115
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",512,1,5.53834,0.00319,45.4804,5.93408,57.0852,56.956
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",512,2,5.53674,0.00294,45.3359,5.93101,56.938,56.8066
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",512,3,5.53469,0.002887,45.3858,5.9392,56.9932,56.8626
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",512,4,5.53629,0.002927,45.3811,5.92691,56.9759,56.8472
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",512,5,5.53763,0.003073,45.4785,5.93818,57.088,56.9573
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",512,6,5.54211,0.003265,45.2263,5.9392,56.8492,56.7108
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",512,7,5.53731,0.004575,45.3553,5.93818,56.9652,56.8353
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",512,8,5.53574,0.002951,45.3246,5.93203,56.9248,56.7953
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",512,9,5.53606,0.002984,45.4529,5.9392,57.0615,56.9312
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",512,10,5.53763,0.003142,45.2553,5.94432,56.8708,56.7404
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",512,11,5.58752,0.003653,45.4052,5.94432,57.0748,56.9407
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",512,12,5.536,0.002928,45.4324,5.94022,57.0429,56.9115
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",512,13,5.53539,0.003465,45.4533,5.9351,57.0564,56.9273
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",512,14,5.53827,0.002976,45.461,5.94125,57.0721,56.9435
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",512,15,5.53693,0.002963,45.2917,5.92998,56.89,56.7616
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",512,16,5.53725,0.003234,45.4217,5.94022,57.0381,56.9025
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",512,17,5.53581,0.002983,45.3924,5.94022,57.0022,56.8714
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",512,18,5.53648,0.002927,45.4467,5.93818,57.0545,56.9243
3,double,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",512,19,5.53645,0.003031,45.2872,5.94022,56.8958,56.7669
