dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",512,7,0.021376,0,0.045592,0.01536,0.212127,0.082328
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",512,8,0.019552,0,0.045745,0.014336,0.210976,0.079633
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",512,9,0.020608,0,0.045546,0.01536,0.21166,0.081514
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",512,10,0.021248,0,0.045296,0.016384,0.212304,0.082928
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",512,11,0.020224,0,0.04573,0.016384,0.211038,0.082338
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",512,12,0.02064,0,0.045692,0.01536,0.211774,0.081692
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",512,13,0.022176,0,0.045508,0.01536,0.212672,0.083044
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",512,14,0.02032,0,0.045735,0.016384,0.212144,0.082439
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",512,15,0.019776,0,0.045354,0.016384,0.211463,0.081514
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",512,16,0.020256,0,0.045127,0.01536,0.211097,0.080743
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",512,17,0.025536,0,0.045394,0.01536,0.215953,0.08629
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",512,18,0.018624,0,0.045518,0.016384,0.211292,0.080526
2,float,uniform,GPU,"Ns | Ns | Ns | Ns",512,19,0.02032,0,0.04542,0.01536,0.210454,0.0811
