dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,15,0.116608,0.002,1.48681,0.184512,1.84558,1.78993
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,16,0.10816,0.001979,1.48643,0.18496,1.8375,1.78153
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,17,0.10912,0.001989,1.48671,0.186368,1.83657,1.78418
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,18,0.103136,0.00195,1.48359,0.18368,1.82793,1.77236
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,19,0.104384,0.001882,1.48489,0.183296,1.82966,1.77446
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,20,0.102048,0.00188,1.4858,0.183712,1.8286,1.77343
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,21,0.110688,0.001919,1.48486,0.18256,1.83955,1.78002
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,22,0.102848,0.00153,1.48351,0.186464,1.82913,1.77435
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,23,0.105504,0.001761,1.48487,0.183424,1.8326,1.77556
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,24,0.111328,0.00212,1.48522,0.18352,1.83866,1.78219
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,25,0.110592,0.001851,1.49373,0.186272,1.84815,1.79245
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,26,0.107264,0.002021,1.48144,0.185568,1.83037,1.7763
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,27,0.115584,0.001809,1.48589,0.184128,1.84485,1.78741
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,28,0.104576,0.002281,1.48539,0.18336,1.831,1.77561
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,29,0.103552,0.00191,1.48585,0.184576,1.83191,1.77588
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,30,0.102848,0.00186,1.4863,0.186144,1.83467,1.77716
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,31,0.105408,0.00179,1.48499,0.185632,1.83477,1.77782
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,32,0.1048,0.001979,1.48378,0.185472,1.83105,1.77603
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,33,0.11968,0.00207,1.48816,0.185056,1.85156,1.79497
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,34,0.104608,0.00186,1.48514,0.185408,1.8346,1.77702
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,35,0.10592,0.001801,1.484,0.183488,1.83195,1.77521
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,36,0.120064,0.001949,1.48722,0.183488,1.85059,1.79272
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,37,0.11024,0.00199,1.48673,0.184992,1.84135,1.78396
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,38,0.1072,0.001701,1.49378,0.186848,1.84601,1.78953
