dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,double,uniform,CPU,"N | D",256,6,0.030336,0,0.03509,0.009312,0.115069,0.074738
1,double,uniform,CPU,"N | D",256,7,0.028192,0,0.034819,0.00864,0.111029,0.071651
1,double,uniform,CPU,"N | D",256,8,0.028704,0,0.034989,0.008384,0.112609,0.072077
1,double,uniform,CPU,"N | D",256,9,0.0312,0,0.03474,0.008256,0.113539,0.074196
1,double,uniform,CPU,"N | D",256,10,0.02944,0,0.035559,0.008672,0.113619,0.073671
1,double,uniform,CPU,"N | D",256,11,0.029472,0,0.03549,0.009856,0.11461,0.074818
1,double,uniform,CPU,"N | D",256,12,0.029024,0,0.034959,0.00864,0.111409,0.072623
1,double,uniform,CPU,"N | D",256,13,0.029536,0,0.03534,0.007904,0.111419,0.07278
1,double,uniform,CPU,"N | D",256,14,0.02832,0,0.03184,0.008256,0.100539,0.068416
1,double,uniform,CPU,"N | D",256,15,0.032064,0,0.031579,0.009568,0.113589,0.073211
1,double,uniform,CPU,"N | D",256,16,0.029856,0,0.0348,0.008672,0.110839,0.073328
1,double,uniform,CPU,"N | D",256,17,0.030336,0,0.03513,0.007424,0.113109,0.07289
1,double,uniform,CPU,"N | D",256,18,0.033184,0,0.03501,0.009216,0.11703,0.07741
1,double,uniform,CPU,"N | D",256,19,0.030112,0,0.03531,0.007808,0.111879,0.07323
1,double,uniform,CPU,"N | D",256,20,0.030304,0,0.035299,0.008224,0.112929,0.073827
1,double,uniform,CPU,"N | D",256,21,0.030304,0,0.03547,0.00784,0.114349,0.073614
1,double,uniform,CPU,"N | D",256,22,0.031808,0,0.036239,0.007872,0.115469,0.075919
1,double,uniform,CPU,"N | D",256,23,0.030304,0,0.03551,0.007648,0.11225,0.073462
1,double,uniform,CPU,"N | D",256,24,0.027904,0,0.03474,0.008192,0.108269,0.070836
1,double,uniform,CPU,"N | D",256,25,0.029376,0,0.035529,0.00912,0.113199,0.074025
