dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"D | D | D | D | N | D",192,9,2.64266,0.00217,0.317196,0.044928,3.05915,3.00695
3,float,uniform,CPU,"D | D | D | D | N | D",192,10,2.61712,0.0017,0.317407,0.045856,3.03401,2.98208
3,float,uniform,CPU,"D | D | D | D | N | D",192,11,2.59901,0.00204,0.321726,0.0488,3.04812,2.97157
3,float,uniform,CPU,"D | D | D | D | N | D",192,12,2.57818,0.001699,0.318947,0.047904,3.00121,2.94673
3,float,uniform,CPU,"D | D | D | D | N | D",192,13,2.60723,0.00169,0.315306,0.044704,3.02272,2.96893
3,float,uniform,CPU,"D | D | D | D | N | D",192,14,2.5703,0.00157,0.314298,0.04672,2.98542,2.93289
3,float,uniform,CPU,"D | D | D | D | N | D",192,15,2.64557,0.0019,0.317277,0.043904,3.06038,3.00865
3,float,uniform,CPU,"D | D | D | D | N | D",192,16,2.7152,0.00189,0.318356,0.046144,3.1355,3.08159
3,float,uniform,CPU,"D | D | D | D | N | D",192,17,2.63885,0.001709,0.315916,0.051904,3.05959,3.00838
3,float,uniform,CPU,"D | D | D | D | N | D",192,18,2.59648,0.0016,0.315867,0.0464,3.01581,2.96035
3,float,uniform,CPU,"D | D | D | D | N | D",192,19,2.64611,0.00166,0.315287,0.044832,3.066,3.00789
3,float,uniform,CPU,"D | D | D | D | N | D",192,20,2.6417,0.00157,0.316847,0.045344,3.06006,3.00546
3,float,uniform,CPU,"D | D | D | D | N | D",192,21,2.71824,0.001911,0.317877,0.04432,3.13321,3.08235
3,float,uniform,CPU,"D | D | D | D | N | D",192,22,2.76986,0.00168,0.319437,0.046048,3.18936,3.13702
3,float,uniform,CPU,"D | D | D | D | N | D",192,23,2.6113,0.00171,0.315237,0.04608,3.02785,2.97432
3,float,uniform,CPU,"D | D | D | D | N | D",192,24,2.6512,0.00164,0.315077,0.044768,3.06563,3.01269
3,float,uniform,CPU,"D | D | D | D | N | D",192,25,2.57571,0.00156,0.316187,0.046176,2.9929,2.93963
3,float,uniform,CPU,"D | D | D | D | N | D",192,26,2.65155,0.00157,0.314047,0.044896,3.06973,3.01206
3,float,uniform,CPU,"D | D | D | D | N | D",192,27,2.55277,0.00204,0.323146,0.048096,2.99972,2.92605
3,float,uniform,CPU,"D | D | D | D | N | D",192,28,2.56538,0.00211,0.317977,0.047264,2.98649,2.93273
3,float,uniform,CPU,"D | D | D | D | N | D",192,29,2.57261,0.0016,0.316697,0.045152,2.98951,2.93606
3,float,uniform,CPU,"D | D | D | D | N | D",192,30,2.63702,0.0022,0.321997,0.048384,3.08293,3.0096
3,float,uniform,CPU,"D | D | D | D | N | D",192,31,2.55792,0.001809,0.317097,0.043936,2.97273,2.92076
3,float,uniform,CPU,"D | D | D | D | N | D",192,32,2.56506,0.00189,0.319307,0.044064,2.98412,2.93032
3,float,uniform,CPU,"D | D | D | D | N | D",192,33,2.57574,0.00192,0.315217,0.044768,2.99061,2.93765
3,float,uniform,CPU,"D | D | D | D | N | D",192,34,2.56358,0.001712,0.316918,0.045248,2.98098,2.92746
3,float,uniform,CPU,"D | D | D | D | N | D",192,35,2.61936,0.00168,0.316077,0.045248,3.03379,2.98236
3,float,uniform,CPU,"D | D | D | D | N | D",192,36,2.6441,0.00154,0.313487,0.045408,3.05681,3.00453
3,float,uniform,CPU,"D | D | D | D | N | D",192,37,2.62317,0.00187,0.317166,0.04464,3.04,2.98684
3,float,uniform,CPU,"D | D | D | D | N | D",192,38,2.56301,0.00189,0.317337,0.045184,2.97796,2.92742
3,float,uniform,CPU,"D | D | D | D | N | D",192,39,2.64941,0.001742,0.314435,0.0448,3.06242,3.01038
3,float,uniform,CPU,"D | D | D | D | N | D",192,40,2.6785,0.00169,0.316197,0.047936,3.09859,3.04432
3,float,uniform,CPU,"D | D | D | D | N | D",192,41,2.60176,0.00158,0.314836,0.046208,3.01553,2.96438
3,float,uniform,CPU,"D | D | D | D | N | D",192,42,2.56387,0.001831,0.374125,0.044576,3.03653,2.9844
3,float,uniform,CPU,"D | D | D | D | N | D",192,43,2.64966,0.00183,0.318347,0.044672,3.06625,3.01451
3,float,uniform,CPU,"D | D | D | D | N | D",192,44,2.56934,0.0017,0.316097,0.045152,2.98531,2.93229
3,float,uniform,CPU,"D | D | D | D | N | D",192,45,2.56662,0.00163,0.317328,0.044256,2.98374,2.92984
3,float,uniform,CPU,"D | D | D | D | N | D",192,46,2.54822,0.00165,0.313906,0.045792,2.96196,2.90957
3,float,uniform,CPU,"D | D | D | D | N | D",192,47,2.61325,0.001709,0.314887,0.04384,3.02513,2.97368
3,float,uniform,CPU,"D | D | D | D | N | D",192,48,2.56499,0.00192,0.317227,0.04608,2.98338,2.93022
3,float,uniform,CPU,"D | D | D | D | N | D",192,49,2.64464,0.00189,0.316326,0.043264,3.05857,3.00612
3,float,uniform,CPU,"D | D | D | D | N | D",192,50,2.63664,0.00163,0.315716,0.046624,3.05524,3.00061
3,float,uniform,CPU,"D | D | D | D | N | D",192,51,2.56253,0.00207,0.323266,0.04864,3.01945,2.9365
3,float,uniform,CPU,"D | D | D | D | N | D",192,52,2.58173,0.001841,0.318626,0.044512,2.99933,2.94671
3,float,uniform,CPU,"D | D | D | D | N | D",192,53,2.57808,0.00198,0.318797,0.047104,3.00953,2.94596
3,float,uniform,CPU,"D | D | D | D | N | D",192,54,2.58211,0.001701,0.317687,0.0448,3.00017,2.9463
3,float,uniform,CPU,"D | D | D | D | N | D",192,55,2.58656,0.0017,0.316307,0.046688,3.08403,2.95126
3,float,uniform,CPU,"D | D | D | D | N | D",192,56,2.59574,0.00172,0.316087,0.0448,3.01023,2.95835
3,float,uniform,CPU,"D | D | D | D | N | D",192,57,2.55478,0.00167,0.313286,0.043264,2.96573,2.913
3,float,uniform,CPU,"D | D | D | D | N | D",192,58,2.54707,0.00173,0.314227,0.043392,2.95944,2.90642
3,float,uniform,CPU,"D | D | D | D | N | D",192,59,2.5689,0.00183,0.317557,0.046272,2.98764,2.93456
3,float,uniform,CPU,"D | D | D | D | N | D",192,60,2.55862,0.00167,0.315626,0.044512,2.97335,2.92043
3,float,uniform,CPU,"D | D | D | D | N | D",192,61,2.62541,0.001582,0.310868,0.047456,3.03513,2.98531
3,float,uniform,CPU,"D | D | D | D | N | D",192,62,2.60624,0.00162,0.314716,0.044512,3.02157,2.96709
3,float,uniform,CPU,"D | D | D | D | N | D",192,63,2.62138,0.00153,0.316596,0.045952,3.0364,2.98545
3,float,uniform,CPU,"D | D | D | D | N | D",192,64,2.58893,0.00183,0.316157,0.045184,3.005,2.9521
3,float,uniform,CPU,"D | D | D | D | N | D",192,65,2.64074,0.001921,0.316876,0.044224,3.0586,3.00376
3,float,uniform,CPU,"D | D | D | D | N | D",192,66,2.64058,0.00199,0.314357,0.045632,3.05296,3.00255
3,float,uniform,CPU,"D | D | D | D | N | D",192,67,2.6704,0.00181,0.316797,0.046144,3.08727,3.03515
3,float,uniform,CPU,"D | D | D | D | N | D",192,68,2.55978,0.00156,0.314997,0.045824,2.97449,2.92216
3,float,uniform,CPU,"D | D | D | D | N | D",192,69,2.63517,0.00167,0.307607,0.045248,3.03654,2.98969
3,float,uniform,CPU,"D | D | D | D | N | D",192,70,2.67222,0.00217,0.324946,0.047392,3.12178,3.04673
3,float,uniform,CPU,"D | D | D | D | N | D",192,71,2.59184,0.001679,0.317597,0.045344,3.00914,2.95646
3,float,uniform,CPU,"D | D | D | D | N | D",192,72,2.54682,0.002149,0.322036,0.047424,2.99505,2.91843
3,float,uniform,CPU,"D | D | D | D | N | D",192,73,2.58742,0.00172,0.318057,0.047232,3.0079,2.95443
3,float,uniform,CPU,"D | D | D | D | N | D",192,74,2.53997,0.0017,0.316706,0.045344,2.96441,2.90372
3,float,uniform,CPU,"D | D | D | D | N | D",256,0,7.4704,0.001919,0.654802,0.09936,8.29999,8.22648
3,float,uniform,CPU,"D | D | D | D | N | D",256,1,7.32045,0.00186,0.655393,0.103424,8.15664,8.08113
3,float,uniform,CPU,"D | D | D | D | N | D",256,2,6.40912,0.002061,0.645273,0.100896,7.21479,7.15735
3,float,uniform,CPU,"D | D | D | D | N | D",256,3,6.69859,0.00189,0.655963,0.102784,7.52109,7.45923
