dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"N | D | N | N | N | N",192,24,0.055616,0.00184,0.705812,0.049696,0.86997,0.812964
3,float,uniform,GPU,"N | D | N | N | N | N",192,25,0.057504,0.001811,0.704841,0.051072,0.8698,0.815228
3,float,uniform,GPU,"N | D | N | N | N | N",192,26,0.052992,0.00175,0.710312,0.048896,0.86942,0.81395
3,float,uniform,GPU,"N | D | N | N | N | N",192,27,0.05856,0.00177,0.707022,0.050208,0.87205,0.81756
3,float,uniform,GPU,"N | D | N | N | N | N",192,28,0.050208,0.00145,0.704602,0.047008,0.85911,0.803268
3,float,uniform,GPU,"N | D | N | N | N | N",192,29,0.06704,0.00195,0.712321,0.051712,0.889099,0.833023
3,float,uniform,GPU,"N | D | N | N | N | N",192,30,0.049056,0.00157,0.702092,0.04608,0.8551,0.798798
3,float,uniform,GPU,"N | D | N | N | N | N",192,31,0.067488,0.00248,0.705462,0.051296,0.87953,0.826726
3,float,uniform,GPU,"N | D | N | N | N | N",192,32,0.058592,0.00169,0.705632,0.050368,0.872531,0.816282
3,float,uniform,GPU,"N | D | N | N | N | N",192,33,0.051232,0.00181,0.703462,0.048864,0.860741,0.805368
3,float,uniform,GPU,"N | D | N | N | N | N",192,34,0.050464,0.00175,0.702682,0.046496,0.860751,0.801392
3,float,uniform,GPU,"N | D | N | N | N | N",192,35,0.061728,0.00186,0.715242,0.049536,0.8851,0.828366
3,float,uniform,GPU,"N | D | N | N | N | N",192,36,0.059552,0.00193,0.708323,0.050976,0.87732,0.820781
3,float,uniform,GPU,"N | D | N | N | N | N",192,37,0.052,0.00165,0.704431,0.049728,0.86371,0.807809
3,float,uniform,GPU,"N | D | N | N | N | N",192,38,0.065472,0.00177,0.710052,0.050464,0.883891,0.827758
3,float,uniform,GPU,"N | D | N | N | N | N",192,39,0.058464,0.00164,0.707622,0.049568,0.87243,0.817294
3,float,uniform,GPU,"N | D | N | N | N | N",192,40,0.058016,0.00164,0.706883,0.051168,0.87403,0.817707
3,float,uniform,GPU,"N | D | N | N | N | N",192,41,0.068096,0.0018,0.712152,0.051712,0.890441,0.83376
3,float,uniform,GPU,"N | D | N | N | N | N",192,42,0.06048,0.00169,0.703792,0.049312,0.87169,0.815274
3,float,uniform,GPU,"N | D | N | N | N | N",192,43,0.052032,0.00179,0.705432,0.047456,0.864721,0.80671
3,float,uniform,GPU,"N | D | N | N | N | N",192,44,0.069184,0.00197,0.710673,0.051712,0.8911,0.833539
3,float,uniform,GPU,"N | D | N | N | N | N",192,45,0.061056,0.00183,0.707031,0.052416,0.87625,0.822333
3,float,uniform,GPU,"N | D | N | N | N | N",192,46,0.055008,0.00173,0.708051,0.049216,0.86973,0.814005
3,float,uniform,GPU,"N | D | N | N | N | N",192,47,0.069664,0.002009,0.710063,0.052736,0.88921,0.834472
3,float,uniform,GPU,"N | D | N | N | N | N",192,48,0.051072,0.00155,0.702682,0.04672,0.857541,0.802024
3,float,uniform,GPU,"N | D | N | N | N | N",192,49,0.062688,0.0018,0.708792,0.051456,0.88096,0.824736
3,float,uniform,GPU,"N | D | N | N | N | N",192,50,0.053728,0.0017,0.704671,0.047936,0.864201,0.808035
3,float,uniform,GPU,"N | D | N | N | N | N",192,51,0.049856,0.00177,0.702404,0.04528,0.85694,0.79931
3,float,uniform,GPU,"N | D | N | N | N | N",192,52,0.050752,0.0017,0.704501,0.046912,0.86047,0.803865
3,float,uniform,GPU,"N | D | N | N | N | N",192,53,0.050272,0.00156,0.703142,0.046816,0.86362,0.80179
3,float,uniform,GPU,"N | D | N | N | N | N",192,54,0.064064,0.00202,0.713383,0.05152,0.88698,0.830987
3,float,uniform,GPU,"N | D | N | N | N | N",192,55,0.051616,0.001358,0.703362,0.049088,0.86094,0.805424
3,float,uniform,GPU,"N | D | N | N | N | N",192,56,0.051616,0.00148,0.701483,0.047488,0.86247,0.802067
3,float,uniform,GPU,"N | D | N | N | N | N",192,57,0.055392,0.00194,0.706473,0.049184,0.86887,0.812989
3,float,uniform,GPU,"N | D | N | N | N | N",192,58,0.063776,0.00185,0.714192,0.050944,0.88846,0.830762
3,float,uniform,GPU,"N | D | N | N | N | N",192,59,0.054496,0.00165,0.705032,0.049312,0.86665,0.81049
3,float,uniform,GPU,"N | D | N | N | N | N",192,60,0.054176,0.00188,0.707921,0.049792,0.87231,0.813769
3,float,uniform,GPU,"N | D | N | N | N | N",192,61,0.066624,0.00192,0.712291,0.052384,0.8944,0.833219
3,float,uniform,GPU,"N | D | N | N | N | N",192,62,0.059808,0.001801,0.712444,0.050944,0.8817,0.824997
3,float,uniform,GPU,"N | D | N | N | N | N",192,63,0.051136,0.00172,0.703172,0.048928,0.86112,0.804956
3,float,uniform,GPU,"N | D | N | N | N | N",192,64,0.052192,0.00152,0.703672,0.046752,0.8598,0.804136
3,float,uniform,GPU,"N | D | N | N | N | N",192,65,0.066656,0.00191,0.712482,0.05232,0.88904,0.833368
3,float,uniform,GPU,"N | D | N | N | N | N",192,66,0.050592,0.001611,0.704344,0.048288,0.85838,0.804835
3,float,uniform,GPU,"N | D | N | N | N | N",192,67,0.065664,0.00185,0.710282,0.049536,0.88357,0.827332
3,float,uniform,GPU,"N | D | N | N | N | N",192,68,0.05088,0.001538,0.699562,0.046848,0.84929,0.798828
3,float,uniform,GPU,"N | D | N | N | N | N",192,69,0.066816,0.001951,0.710131,0.051424,0.88683,0.830322
3,float,uniform,GPU,"N | D | N | N | N | N",192,70,0.0512,0.00177,0.704242,0.047136,0.860421,0.804348
3,float,uniform,GPU,"N | D | N | N | N | N",192,71,0.065536,0.00204,0.710642,0.051936,0.88701,0.830154
3,float,uniform,GPU,"N | D | N | N | N | N",192,72,0.049696,0.00155,0.702602,0.047456,0.85899,0.801304
3,float,uniform,GPU,"N | D | N | N | N | N",192,73,0.065216,0.00186,0.710351,0.05264,0.88673,0.830067
3,float,uniform,GPU,"N | D | N | N | N | N",192,74,0.066304,0.0019,0.711422,0.051904,0.88867,0.83153
3,float,uniform,GPU,"N | D | N | N | N | N",256,0,0.14416,0.00203,0.572132,0.106528,0.88052,0.82485
3,float,uniform,GPU,"N | D | N | N | N | N",256,1,0.16,0.00195,0.572213,0.105632,0.89796,0.839795
3,float,uniform,GPU,"N | D | N | N | N | N",256,2,0.157248,0.001981,0.572224,0.106016,0.90119,0.837469
3,float,uniform,GPU,"N | D | N | N | N | N",256,3,0.158144,0.00186,0.570734,0.106336,0.89418,0.837074
