dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,45,1.54608,0,0.510205,0.058016,2.16319,2.1143
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,46,1.50384,0,0.507914,0.057376,2.11772,2.06913
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,47,1.54992,0,0.509565,0.058592,2.16522,2.11808
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,48,1.53181,0,0.510635,0.059456,2.15209,2.1019
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,49,1.54147,0,0.510055,0.059168,2.15792,2.1107
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,50,1.5823,0,0.509044,0.058848,2.1982,2.1502
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,51,1.54051,0,0.509664,0.059904,2.16094,2.11008
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,52,1.50854,0,0.509835,0.061536,2.12191,2.07992
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,53,1.53366,0,0.510385,0.058336,2.1491,2.10239
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,54,1.53325,0,0.509595,0.060416,2.15055,2.10326
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,55,1.60128,0,0.508814,0.059712,2.21719,2.16981
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,56,1.54688,0,0.515405,0.063872,2.19629,2.12616
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,57,1.57622,0,0.509164,0.05824,2.19237,2.14363
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,58,1.50621,0,0.509244,0.059872,2.12755,2.07532
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,59,1.55181,0,0.510254,0.058752,2.16955,2.12081
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,60,1.52982,0,0.509684,0.059424,2.14982,2.09893
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,61,1.57642,0,0.514694,0.063168,2.22878,2.15428
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,62,1.54381,0,0.512834,0.062048,2.17763,2.11869
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,63,1.56448,0,0.515275,0.062592,2.21453,2.14235
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,64,1.53254,0,0.510655,0.06,2.16151,2.1032
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,65,1.50106,0,0.507104,0.063008,2.11186,2.07117
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,66,1.52595,0,0.562763,0.05984,2.19428,2.14856
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,67,1.52307,0,0.511494,0.063136,2.15864,2.0977
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,68,1.51808,0,0.512524,0.062336,2.15238,2.09294
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,69,1.59318,0,0.514284,0.062496,2.24234,2.16996
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,70,1.55248,0,0.509935,0.060448,2.17224,2.12286
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,71,1.52291,0,0.516155,0.058464,2.15099,2.09753
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,72,1.53645,0,0.511804,0.061952,2.16184,2.1102
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,73,1.54106,0,0.510214,0.057504,2.15762,2.10877
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,74,1.54106,0,0.509805,0.060672,2.15935,2.11153
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,0,6.26096,0,1.73681,0.18528,8.25599,8.18305
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,1,5.7999,0,1.73782,0.19008,7.80221,7.72781
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,2,5.88237,0,1.73693,0.184832,7.88287,7.80413
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,3,5.8991,0,1.73775,0.184224,7.89177,7.82108
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,4,5.94189,0,1.73861,0.185184,7.94108,7.86568
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,5,5.79267,0,1.73605,0.186944,7.78048,7.71567
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,6,5.96394,0,1.73847,0.184,7.96612,7.88641
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,7,5.94042,0,1.73631,0.186752,7.92098,7.86348
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,8,5.8689,0,1.7365,0.184672,7.84959,7.79007
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,9,5.7352,0,1.7358,0.184032,7.71441,7.65503
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,10,5.8745,0,1.73801,0.188384,7.87345,7.80089
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,11,5.94502,0,1.73677,0.185056,7.94432,7.86685
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,12,5.8104,0,1.73682,0.186112,7.86794,7.73333
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,13,5.92832,0,1.73768,0.187456,7.93014,7.85346
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,14,5.82598,0,1.73924,0.182624,7.80717,7.74785
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,15,6.02544,0,1.73725,0.186784,8.01024,7.94948
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,16,5.93526,0,1.73674,0.185472,7.91711,7.85748
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,17,5.98566,0,1.73771,0.185728,7.97879,7.9091
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,18,5.88714,0,1.73713,0.186816,7.87072,7.81108
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,19,6.06528,0,1.73914,0.18672,8.07157,7.99114
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,20,5.77754,0,1.73633,0.186272,7.77356,7.70014
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,21,5.9975,0,1.73754,0.18624,7.98184,7.92129
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,22,5.84643,0,1.73877,0.184128,7.82905,7.76933
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,23,5.92906,0,1.73676,0.182112,7.90415,7.84793
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,24,5.97485,0,1.73644,0.184128,7.95125,7.89542
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,25,5.9104,0,1.73799,0.184448,7.90464,7.83284
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,26,5.86765,0,1.73664,0.187328,7.84708,7.79162
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,27,5.84678,0,1.73827,0.187328,7.85169,7.77238
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,28,5.93466,0,1.73745,0.185376,7.92717,7.85748
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,29,6.08598,0,1.73704,0.187776,8.09096,8.0108
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,30,5.92246,0,1.73846,0.184032,7.90227,7.84496
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,31,5.92317,0,1.73832,0.185824,7.91871,7.84731
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,32,5.89002,0,1.7368,0.185824,7.88539,7.81264
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,33,5.92182,0,1.73715,0.184704,7.90136,7.84368
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,34,5.95226,0,1.73703,0.185184,7.94751,7.87447
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,35,5.78989,0,1.73656,0.185984,7.78017,7.71243
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,36,5.98154,0,1.73641,0.184224,7.97958,7.90217
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,37,5.63856,0,1.74711,0.185088,7.62762,7.57076
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,38,6,0,1.73806,0.187232,7.99733,7.92529
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,39,5.7263,0,1.73776,0.186304,7.71161,7.65037
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,40,5.89936,0,1.73779,0.18752,7.90074,7.82467
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,41,5.73738,0,1.73639,0.185856,7.715,7.65962
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,42,5.82842,0,1.73919,0.185472,7.81287,7.75308
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,43,5.7248,0,1.74064,0.18608,7.72677,7.65152
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,44,5.88038,0,1.7368,0.184064,7.87292,7.80125
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,45,5.93907,0,1.73678,0.18512,7.92083,7.86097
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,46,5.71616,0,1.73503,0.185216,7.6925,7.63641
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,47,5.99027,0,1.73803,0.184352,7.98893,7.91265
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,48,5.88061,0,1.73601,0.18688,7.86554,7.8035
