dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,double,uniform,GPU,"D | N",256,23,0.010656,0,0.0376,0.009504,0.085719,0.05776
1,double,uniform,GPU,"D | N",256,24,0.012448,0,0.03176,0.009728,0.082989,0.053936
1,double,uniform,GPU,"D | N",256,25,0.011712,0,0.120628,0.010176,0.173508,0.142516
1,double,uniform,GPU,"D | N",256,26,0.011584,0,0.03602,0.009376,0.09107,0.05698
1,double,uniform,GPU,"D | N",256,27,0.011712,0,0.035989,0.009376,0.091859,0.057077
1,double,uniform,GPU,"D | N",256,28,0.012288,0,0.03581,0.008864,0.092599,0.056962
1,double,uniform,GPU,"D | N",256,29,0.010816,0,0.03556,0.0088,0.090329,0.055176
1,double,uniform,GPU,"D | N",256,30,0.010976,0,0.035479,0.0088,0.088549,0.055255
1,double,uniform,GPU,"D | N",256,31,0.011104,0,0.03558,0.00624,0.087799,0.052924
1,double,uniform,GPU,"D | N",256,32,0.013568,0,0.035309,0.008896,0.096569,0.057773
1,double,uniform,GPU,"D | N",256,33,0.011584,0,0.03578,0.009472,0.090508,0.056836
1,double,uniform,GPU,"D | N",256,34,0.012128,0,0.03552,0.007712,0.089799,0.05536
1,double,uniform,GPU,"D | N",256,35,0.011264,0,0.03529,0.008064,0.087979,0.054618
1,double,uniform,GPU,"D | N",256,36,0.011488,0,0.0355,0.008736,0.090739,0.055724
1,double,uniform,GPU,"D | N",256,37,0.01072,0,0.03548,0.008864,0.089259,0.055064
1,double,uniform,GPU,"D | N",256,38,0.01232,0,0.036369,0.008928,0.093709,0.057617
1,double,uniform,GPU,"D | N",256,39,0.011424,0,0.03537,0.007488,0.090479,0.054282
1,double,uniform,GPU,"D | N",256,40,0.012224,0,0.03627,0.009056,0.092439,0.05755
1,double,uniform,GPU,"D | N",256,41,0.011264,0,0.035769,0.009376,0.091769,0.056409
1,double,uniform,GPU,"D | N",256,42,0.011712,0,0.03604,0.009056,0.091639,0.056808
1,double,uniform,GPU,"D | N",256,43,0.011136,0,0.03571,0.009536,0.091229,0.056382
1,double,uniform,GPU,"D | N",256,44,0.011328,0,0.03628,0.009088,0.092139,0.056696
1,double,uniform,GPU,"D | N",256,45,0.011872,0,0.036249,0.0088,0.092499,0.056921
1,double,uniform,GPU,"D | N",256,46,0.012064,0,0.035629,0.009696,0.090669,0.057389
1,double,uniform,GPU,"D | N",256,47,0.011808,0,0.035709,0.00992,0.091469,0.057437
1,double,uniform,GPU,"D | N",256,48,0.010176,0,0.03547,0.008128,0.087409,0.053774
1,double,uniform,GPU,"D | N",256,49,0.01232,0,0.03564,0.007008,0.090799,0.054968
1,double,uniform,GPU,"D | N",256,50,0.01136,0,0.03588,0.008832,0.095069,0.056072
1,double,uniform,GPU,"D | N",256,51,0.011008,0,0.03588,0.009184,0.091139,0.056072
1,double,uniform,GPU,"D | N",256,52,0.010752,0,0.03592,0.00928,0.090429,0.055952
1,double,uniform,GPU,"D | N",256,53,0.011584,0,0.03615,0.008768,0.089299,0.056502
1,double,uniform,GPU,"D | N",256,54,0.010432,0,0.035769,0.007744,0.087679,0.053945
