dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",192,50,0.110944,0.00198,1.80402,0.331008,2.31459,2.24795
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",192,51,0.111136,0.002001,1.80492,0.332672,2.31723,2.25073
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",192,52,0.109792,0.00215,1.80443,0.333568,2.31725,2.24994
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",192,53,0.129824,0.00214,1.82056,0.337024,2.35566,2.28954
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",192,54,0.113632,0.00198,1.80557,0.333024,2.3197,2.2542
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",192,55,0.115616,0.00197,1.8098,0.332736,2.32671,2.26012
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",192,56,0.11376,0.00213,1.80761,0.335648,2.31958,2.25915
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",192,57,0.111264,0.001959,1.81347,0.336128,2.32951,2.26282
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",192,58,0.108544,0.002,1.80403,0.330016,2.31082,2.24459
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",192,59,0.12896,0.00205,1.80861,0.334944,2.34109,2.27456
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",192,60,0.112512,0.002029,1.80647,0.331712,2.32036,2.25272
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",192,61,0.111776,0.00206,1.80182,0.331584,2.30896,2.24724
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",192,62,0.110048,0.00192,1.80295,0.33168,2.3119,2.2466
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",192,63,0.109696,0.00205,1.81818,0.33424,2.33115,2.26416
