dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",192,16,0.053856,0.002,0.163447,0.080768,0.365056,0.300071
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",192,17,0.05504,0.00184,0.16208,0.078528,0.360756,0.297488
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",192,18,0.066784,0.00214,0.166867,0.08272,0.382646,0.318511
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",192,19,0.071872,0.00219,0.16475,0.083296,0.388016,0.322108
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",192,20,0.057984,0.001929,0.164067,0.081344,0.367596,0.305324
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",192,21,0.069344,0.00208,0.165487,0.081088,0.382835,0.317999
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",192,22,0.054144,0.00216,0.160877,0.082432,0.361586,0.299613
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",192,23,0.05312,0.00175,0.163677,0.080544,0.362105,0.299091
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",192,24,0.053248,0.001579,0.159419,0.0768,0.355716,0.291046
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",192,25,0.069312,0.00199,0.166946,0.083008,0.384855,0.321256
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",192,26,0.05392,0.00189,0.160627,0.08112,0.361126,0.297557
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",192,27,0.056416,0.002061,0.163618,0.081152,0.366206,0.303247
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",192,28,0.052864,0.00212,0.168137,0.079712,0.368116,0.302833
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",192,29,0.070432,0.00222,0.16669,0.084736,0.388756,0.324078
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",192,30,0.054496,0.00162,0.161717,0.077536,0.359546,0.295369
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",192,31,0.062272,0.001921,0.163457,0.080576,0.372866,0.308226
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",192,32,0.053504,0.00166,0.162357,0.079808,0.360066,0.297329
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",192,33,0.053376,0.00159,0.160438,0.078208,0.358216,0.293612
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",192,34,0.06496,0.001839,0.163069,0.083552,0.373596,0.31342
3,float,uniform,GPU,"P | P | Ns | Ns | P | P",192,35,0.06128,0.00175,0.164218,0.081312,0.371536,0.30856
