dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,float,uniform,CPU,"N | N",256,4,0.029376,0,0.01971,0.004672,0.092559,0.053758
1,float,uniform,CPU,"N | N",256,5,0.0312,0,0.0207,0.00432,0.098549,0.05622
1,float,uniform,CPU,"N | N",256,6,0.02848,0,0.02004,0.005568,0.093119,0.054088
1,float,uniform,CPU,"N | N",256,7,0.032032,0,0.020139,0.00624,0.096719,0.058411
1,float,uniform,CPU,"N | N",256,8,0.032704,0,0.019831,0.005632,0.096729,0.058167
1,float,uniform,CPU,"N | N",256,9,0.030784,0,0.019769,0.005984,0.095259,0.056537
1,float,uniform,CPU,"N | N",256,10,0.028128,0,0.01968,0.006624,0.092499,0.054432
1,float,uniform,CPU,"N | N",256,11,0.02912,0,0.01983,0.007168,0.096439,0.056118
1,float,uniform,CPU,"N | N",256,12,0.031616,0,0.02002,0.005184,0.095669,0.05682
1,float,uniform,CPU,"N | N",256,13,0.02992,0,0.02612,0.007104,0.102019,0.063144
1,float,uniform,CPU,"N | N",256,14,0.028192,0,0.01992,0.005312,0.091569,0.053424
1,float,uniform,CPU,"N | N",256,15,0.028576,0,0.01978,0.00576,0.092348,0.054116
1,float,uniform,CPU,"N | N",256,16,0.030016,0,0.01968,0.005792,0.094069,0.055488
1,float,uniform,CPU,"N | N",256,17,0.034784,0,0.01963,0.005248,0.099469,0.059662
1,float,uniform,CPU,"N | N",256,18,0.030912,0,0.02021,0.00576,0.095189,0.056882
1,float,uniform,CPU,"N | N",256,19,0.028832,0,0.016459,0.006432,0.084109,0.051723
1,float,uniform,CPU,"N | N",256,20,0.03072,0,0.02202,0.00528,0.098739,0.05802
1,float,uniform,CPU,"N | N",256,21,0.028544,0,0.02095,0.005536,0.093939,0.05503
1,float,uniform,CPU,"N | N",256,22,0.030304,0,0.02026,0.00592,0.094859,0.056484
1,float,uniform,CPU,"N | N",256,23,0.028832,0,0.01964,0.005248,0.091279,0.05372
1,float,uniform,CPU,"N | N",256,24,0.028512,0,0.019829,0.005408,0.092309,0.053749
1,float,uniform,CPU,"N | N",256,25,0.0304,0,0.01992,0.005408,0.094279,0.055728
1,float,uniform,CPU,"N | N",256,26,0.034176,0,0.020079,0.007232,0.100659,0.061487
1,float,uniform,CPU,"N | N",256,27,0.032672,0,0.02023,0.00576,0.095119,0.058662
1,float,uniform,CPU,"N | N",256,28,0.02896,0,0.01963,0.005824,0.093259,0.054414
1,float,uniform,CPU,"N | N",256,29,0.031008,0,0.019859,0.00752,0.098409,0.058387
1,float,uniform,CPU,"N | N",256,30,0.029888,0,0.021109,0.005184,0.095919,0.056181
1,float,uniform,CPU,"N | N",256,31,0.029952,0,0.02022,0.004672,0.093129,0.054844
1,float,uniform,CPU,"N | N",256,32,0.029504,0,0.01989,0.005824,0.092749,0.055218
1,float,uniform,CPU,"N | N",256,33,0.029856,0,0.0197,0.005728,0.095579,0.055284
1,float,uniform,CPU,"N | N",256,34,0.031136,0,0.01994,0.006208,0.094639,0.057284
1,float,uniform,CPU,"N | N",256,35,0.032736,0,0.019939,0.0056,0.097419,0.058275
1,float,uniform,CPU,"N | N",256,36,0.030048,0,0.01991,0.006016,0.094739,0.055974
1,float,uniform,CPU,"N | N",256,37,0.027264,0,0.0163,0.00672,0.081479,0.050284
1,float,uniform,CPU,"N | N",256,38,0.028992,0,0.019899,0.004544,0.093339,0.053435
1,float,uniform,CPU,"N | N",256,39,0.031168,0,0.02036,0.006944,0.103199,0.058472
1,float,uniform,CPU,"N | N",256,40,0.029568,0,0.02034,0.0056,0.092939,0.055508
1,float,uniform,CPU,"N | N",256,41,0.027552,0,0.020019,0.004448,0.090969,0.052019
1,float,uniform,CPU,"N | N",256,42,0.031776,0,0.01964,0.005248,0.095859,0.056664
1,float,uniform,CPU,"N | N",256,43,0.030848,0,0.02006,0.00784,0.098209,0.058748
1,float,uniform,CPU,"N | N",256,44,0.030816,0,0.019729,0.005088,0.094649,0.055633
1,float,uniform,CPU,"N | N",256,45,0.031584,0,0.0202,0.0056,0.094929,0.057384
1,float,uniform,CPU,"N | N",256,46,0.166752,0,0.01965,0.004384,0.231077,0.190786
1,float,uniform,CPU,"N | N",256,47,0.029088,0,0.01981,0.005216,0.093639,0.054114
1,float,uniform,CPU,"N | N",256,48,0.02976,0,0.02123,0.007456,0.096659,0.058446
1,float,uniform,CPU,"N | N",256,49,0.030048,0,0.01998,0.005568,0.093879,0.055596
1,float,uniform,CPU,"N | N",256,50,0.028896,0,0.01989,0.00512,0.091938,0.053906
1,float,uniform,CPU,"N | N",256,51,0.030336,0,0.020071,0.006816,0.093409,0.057223
1,float,uniform,CPU,"N | N",256,52,0.033888,0,0.02033,0.007328,0.106469,0.061546
1,float,uniform,CPU,"N | N",256,53,0.031776,0,0.01987,0.006368,0.096899,0.058014
1,float,uniform,CPU,"N | N",256,54,0.030816,0,0.02014,0.005024,0.094379,0.05598
1,float,uniform,CPU,"N | N",256,55,0.029792,0,0.02009,0.004768,0.094819,0.05465
1,float,uniform,CPU,"N | N",256,56,0.029568,0,0.02013,0.005408,0.093899,0.055106
