dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",128,59,1.58698,0.00192,0.487294,0.093344,2.22961,2.16953
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",128,60,1.54262,0.001638,0.486225,0.094272,2.18606,2.12476
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",128,61,1.53395,0.001731,0.487474,0.093344,2.17741,2.1165
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",128,62,1.53146,0.00176,0.486615,0.094784,2.17241,2.11461
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",128,63,1.58272,0.00187,0.486195,0.094304,2.22367,2.16509
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",128,64,1.56413,0.001731,0.488475,0.094944,2.21002,2.14928
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",128,65,1.54858,0.00168,0.485935,0.094336,2.19233,2.13053
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",128,66,1.55616,0.00174,0.486835,0.097312,2.20269,2.14205
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",128,67,1.55638,0.0017,0.487164,0.09456,2.1982,2.13981
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",128,68,1.52486,0.00167,0.485825,0.094016,2.16602,2.10637
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",128,69,1.5904,0.001921,0.486095,0.094496,2.2307,2.17291
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",128,70,1.57514,0.001819,0.502316,0.097312,2.23719,2.17658
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",128,71,1.53885,0.00162,0.486215,0.09456,2.18278,2.12124
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",128,72,1.55421,0.001749,0.486084,0.094048,2.19607,2.13609
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",128,73,1.54947,0.001759,0.485255,0.094048,2.18987,2.13053
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",128,74,1.61776,0.00165,0.482335,0.094656,2.25035,2.1964
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",192,0,6.20512,0.00218,1.54699,0.3384,8.17558,8.09269
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",192,1,5.59821,0.002331,1.53687,0.333472,7.54528,7.47088
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",192,2,5.48845,0.00206,1.53701,0.332352,7.43204,7.35987
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",192,3,5.43917,0.002351,1.54119,0.33232,7.3824,7.31502
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",192,4,5.62093,0.0021,1.53577,0.33424,7.56275,7.49304
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",192,5,5.4031,0.00222,1.53562,0.329984,7.34057,7.27093
