dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
2,float,uniform,GPU,"P | P | P | P",192,29,0.012864,0,0.02348,0.012768,0.089929,0.049112
2,float,uniform,GPU,"P | P | P | P",192,30,0.012992,0,0.02322,0.015296,0.093559,0.051508
2,float,uniform,GPU,"P | P | P | P",192,31,0.015136,0,0.024119,0.01472,0.096259,0.053975
2,float,uniform,GPU,"P | P | P | P",192,32,0.012704,0,0.02365,0.012192,0.089959,0.048546
2,float,uniform,GPU,"P | P | P | P",192,33,0.012672,0,0.023529,0.015296,0.093019,0.051497
2,float,uniform,GPU,"P | P | P | P",192,34,0.011648,0,0.02317,0.0128,0.088829,0.047618
2,float,uniform,GPU,"P | P | P | P",192,35,0.013152,0,0.02364,0.013824,0.092479,0.050616
2,float,uniform,GPU,"P | P | P | P",192,36,0.012992,0,0.02342,0.0152,0.093139,0.051612
2,float,uniform,GPU,"P | P | P | P",192,37,0.014016,0,0.02346,0.013792,0.093469,0.051268
2,float,uniform,GPU,"P | P | P | P",192,38,0.01248,0,0.02311,0.014816,0.092029,0.050406
2,float,uniform,GPU,"P | P | P | P",192,39,0.011808,0,0.02365,0.012576,0.089099,0.048034
2,float,uniform,GPU,"P | P | P | P",192,40,0.014752,0,0.02388,0.014176,0.095319,0.052808
2,float,uniform,GPU,"P | P | P | P",192,41,0.014176,0,0.02311,0.01456,0.094239,0.051846
2,float,uniform,GPU,"P | P | P | P",192,42,0.107392,0,0.02363,0.014464,0.187968,0.145486
2,float,uniform,GPU,"P | P | P | P",192,43,0.012448,0,0.02317,0.01456,0.091669,0.050178
2,float,uniform,GPU,"P | P | P | P",192,44,0.012096,0,0.02386,0.014848,0.092879,0.050804
2,float,uniform,GPU,"P | P | P | P",192,45,0.016224,0,0.02296,0.014784,0.096669,0.053968
2,float,uniform,GPU,"P | P | P | P",192,46,0.011904,0,0.02325,0.013824,0.092379,0.048978
2,float,uniform,GPU,"P | P | P | P",192,47,0.0128,0,0.023489,0.0144,0.092589,0.050689
2,float,uniform,GPU,"P | P | P | P",192,48,0.012096,0,0.02453,0.014112,0.09275,0.050738
2,float,uniform,GPU,"P | P | P | P",192,49,0.012224,0,0.0301,0.015008,0.098939,0.057332
2,float,uniform,GPU,"P | P | P | P",192,50,0.013696,0,0.020719,0.015392,0.083849,0.049807
2,float,uniform,GPU,"P | P | P | P",192,51,0.014304,0,0.023669,0.015136,0.095279,0.053109
2,float,uniform,GPU,"P | P | P | P",192,52,0.011488,0,0.02243,0.01392,0.086768,0.047838
2,float,uniform,GPU,"P | P | P | P",192,53,0.014304,0,0.02326,0.014336,0.094539,0.0519
2,float,uniform,GPU,"P | P | P | P",192,54,0.011968,0,0.023799,0.012448,0.089629,0.048215
2,float,uniform,GPU,"P | P | P | P",192,55,0.013792,0,0.023409,0.012768,0.091599,0.049969
2,float,uniform,GPU,"P | P | P | P",192,56,0.01584,0,0.02327,0.013664,0.100939,0.052774
2,float,uniform,GPU,"P | P | P | P",192,57,0.014112,0,0.02332,0.014496,0.094099,0.051928
2,float,uniform,GPU,"P | P | P | P",192,58,0.0136,0,0.02437,0.013088,0.092708,0.051058
2,float,uniform,GPU,"P | P | P | P",192,59,0.014912,0,0.023929,0.015328,0.096909,0.054169
2,float,uniform,GPU,"P | P | P | P",192,60,0.014048,0,0.02332,0.014016,0.094029,0.051384
2,float,uniform,GPU,"P | P | P | P",192,61,0.012512,0,0.02385,0.014912,0.092959,0.051274
2,float,uniform,GPU,"P | P | P | P",192,62,0.013536,0,0.02378,0.014912,0.093729,0.052228
2,float,uniform,GPU,"P | P | P | P",192,63,0.015104,0,0.023109,0.014944,0.102409,0.053157
2,float,uniform,GPU,"P | P | P | P",192,64,0.013824,0,0.023309,0.014464,0.093689,0.051597
2,float,uniform,GPU,"P | P | P | P",192,65,0.01232,0,0.02356,0.015104,0.092559,0.050984
2,float,uniform,GPU,"P | P | P | P",192,66,0.011328,0,0.023869,0.013888,0.090859,0.049085
2,float,uniform,GPU,"P | P | P | P",192,67,0.012864,0,0.02322,0.012768,0.090259,0.048852
2,float,uniform,GPU,"P | P | P | P",192,68,0.014176,0,0.023509,0.014208,0.093949,0.051893
2,float,uniform,GPU,"P | P | P | P",192,69,0.013216,0,0.02312,0.01472,0.092099,0.051056
2,float,uniform,GPU,"P | P | P | P",192,70,0.011872,0,0.024039,0.013568,0.186468,0.049479
2,float,uniform,GPU,"P | P | P | P",192,71,0.017632,0,0.023179,0.014432,0.098609,0.055243
2,float,uniform,GPU,"P | P | P | P",192,72,0.01424,0,0.023189,0.014368,0.094199,0.051797
2,float,uniform,GPU,"P | P | P | P",192,73,0.014592,0,0.023439,0.014304,0.094809,0.052335
2,float,uniform,GPU,"P | P | P | P",192,74,0.011552,0,0.02445,0.014176,0.092159,0.050178
2,float,uniform,GPU,"P | P | P | P",256,0,0.021632,0,0.027729,0.022976,0.122739,0.072337
2,float,uniform,GPU,"P | P | P | P",256,1,0.012576,0,0.02223,0.014464,0.094749,0.04927
2,float,uniform,GPU,"P | P | P | P",256,2,0.010112,0,0.021799,0.015104,0.092869,0.047015
2,float,uniform,GPU,"P | P | P | P",256,3,0.01232,0,0.02191,0.0144,0.094309,0.04863
2,float,uniform,GPU,"P | P | P | P",256,4,0.012992,0,0.02183,0.014016,0.09149,0.048838
2,float,uniform,GPU,"P | P | P | P",256,5,0.009856,0,0.022159,0.014816,0.092259,0.046831
2,float,uniform,GPU,"P | P | P | P",256,6,0.01488,0,0.0218,0.014496,0.096649,0.051176
2,float,uniform,GPU,"P | P | P | P",256,7,0.011232,0,0.02149,0.01536,0.092649,0.048082
2,float,uniform,GPU,"P | P | P | P",256,8,0.012512,0,0.02157,0.012128,0.091229,0.04621
2,float,uniform,GPU,"P | P | P | P",256,9,0.011872,0,0.021709,0.014976,0.094829,0.048557
2,float,uniform,GPU,"P | P | P | P",256,10,0.012192,0,0.02147,0.015808,0.093509,0.04947
2,float,uniform,GPU,"P | P | P | P",256,11,0.01104,0,0.02177,0.013728,0.090609,0.046538
2,float,uniform,GPU,"P | P | P | P",256,12,0.013824,0,0.02174,0.013216,0.093509,0.04878
2,float,uniform,GPU,"P | P | P | P",256,13,0.012,0,0.02215,0.015296,0.09397,0.049446
2,float,uniform,GPU,"P | P | P | P",256,14,0.012512,0,0.02135,0.012608,0.090228,0.04647
2,float,uniform,GPU,"P | P | P | P",256,15,0.011488,0,0.02159,0.014656,0.093399,0.047734
2,float,uniform,GPU,"P | P | P | P",256,16,0.011904,0,0.021809,0.014496,0.093699,0.048209
2,float,uniform,GPU,"P | P | P | P",256,17,0.014368,0,0.02138,0.013888,0.09307,0.049636
2,float,uniform,GPU,"P | P | P | P",256,18,0.011264,0,0.02174,0.014688,0.093308,0.047692
2,float,uniform,GPU,"P | P | P | P",256,19,0.012736,0,0.021649,0.015072,0.093449,0.049457
2,float,uniform,GPU,"P | P | P | P",256,20,0.012032,0,0.02178,0.012832,0.091789,0.046644
2,float,uniform,GPU,"P | P | P | P",256,21,0.012256,0,0.02145,0.013792,0.093069,0.047498
2,float,uniform,GPU,"P | P | P | P",256,22,0.013152,0,0.02181,0.014112,0.093499,0.049074
2,float,uniform,GPU,"P | P | P | P",256,23,0.012544,0,0.02129,0.015936,0.095099,0.04977
2,float,uniform,GPU,"P | P | P | P",256,24,0.010304,0,0.02217,0.012864,0.084569,0.045338
2,float,uniform,GPU,"P | P | P | P",256,25,0.017312,0,0.02134,0.01696,0.100779,0.055612
2,float,uniform,GPU,"P | P | P | P",256,26,0.011424,0,0.02135,0.013888,0.092049,0.046662
2,float,uniform,GPU,"P | P | P | P",256,27,0.012576,0,0.02422,0.013984,0.097249,0.05078
2,float,uniform,GPU,"P | P | P | P",256,28,0.010336,0,0.02222,0.014144,0.092339,0.0467
2,float,uniform,GPU,"P | P | P | P",256,29,0.013568,0,0.02166,0.01456,0.093359,0.049788
2,float,uniform,GPU,"P | P | P | P",256,30,0.01312,0,0.02155,0.013984,0.094559,0.048654
2,float,uniform,GPU,"P | P | P | P",256,31,0.011168,0,0.022019,0.014208,0.093229,0.047395
2,float,uniform,GPU,"P | P | P | P",256,32,0.0112,0,0.021899,0.01424,0.090229,0.047339
2,float,uniform,GPU,"P | P | P | P",256,33,0.01088,0,0.02133,0.014944,0.092859,0.047154
2,float,uniform,GPU,"P | P | P | P",256,34,0.012896,0,0.02159,0.015232,0.095599,0.049718
