dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",128,71,0.02224,0.00191,0.318646,0.1128,0.815791,0.455596
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",128,72,0.021344,0.001801,0.320638,0.112064,0.820432,0.455847
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",128,73,0.021536,0.00207,0.320356,0.1176,0.825951,0.461562
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",128,74,0.021504,0.00192,0.321246,0.110912,0.818892,0.455582
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",192,0,0.105984,0.00198,1.11984,0.276096,2.0946,1.5039
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",192,1,0.11168,0.00244,1.12306,0.26528,2.09273,1.50246
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",192,2,0.107488,0.00237,1.11749,0.27136,2.09106,1.49871
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",192,3,0.1128,0.00252,1.11883,0.270176,2.09708,1.50432
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",192,4,0.105728,0.00202,1.11792,0.270144,2.08465,1.49581
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",192,5,0.108736,0.00253,1.11847,0.269632,2.09303,1.49937
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",192,6,0.111136,0.00232,1.119,0.267136,2.09015,1.49959
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",192,7,0.107008,0.00201,1.1209,0.269216,2.09136,1.49913
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",192,8,0.106336,0.00217,1.11719,0.267968,2.08365,1.49366
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",192,9,0.109376,0.00233,1.11975,0.267776,2.08786,1.49923
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",192,10,0.11008,0.00211,1.1182,0.267008,2.08614,1.4974
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",192,11,0.11008,0.00223,1.117,0.271008,2.08715,1.50032
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",192,12,0.109888,0.00249,1.11732,0.264992,2.08453,1.49469
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",192,13,0.108448,0.00255,1.12157,0.271328,2.09241,1.50389
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",192,14,0.112832,0.00197,1.11885,0.268768,2.09162,1.50242
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",192,15,0.109664,0.002069,1.11788,0.270752,2.08838,1.50036
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",192,16,0.108096,0.00209,1.11802,0.271168,2.08881,1.49937
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",192,17,0.110208,0.002071,1.11789,0.269056,2.08745,1.49922
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",192,18,0.109472,0.00203,1.11728,0.268192,2.0854,1.49697
3,double,nonuniform_z,GPU,"P | P | P | P | Ns | Ns",192,19,0.10752,0.00229,1.11609,0.270848,2.12066,1.49675
