dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"P | P | P | P | P | P",192,32,2.61411,0,0.147559,0.084352,2.92887,2.84602
3,float,uniform,CPU,"P | P | P | P | P | P",192,33,2.58858,0,0.138329,0.078976,2.85793,2.80588
3,float,uniform,CPU,"P | P | P | P | P | P",192,34,2.59043,0,0.142888,0.076224,2.87083,2.80954
3,float,uniform,CPU,"P | P | P | P | P | P",192,35,2.59334,0,0.142798,0.076352,2.87591,2.81249
3,float,uniform,CPU,"P | P | P | P | P | P",192,36,2.56714,0,0.143248,0.074944,2.84438,2.78533
3,float,uniform,CPU,"P | P | P | P | P | P",192,37,2.64928,0,0.143338,0.074176,2.92645,2.86679
3,float,uniform,CPU,"P | P | P | P | P | P",192,38,2.60054,0,0.142218,0.076672,2.8816,2.81943
3,float,uniform,CPU,"P | P | P | P | P | P",192,39,2.76445,0,0.142208,0.07232,3.04035,2.97898
3,float,uniform,CPU,"P | P | P | P | P | P",192,40,2.63126,0,0.145088,0.084096,2.93872,2.86045
3,float,uniform,CPU,"P | P | P | P | P | P",192,41,2.59043,0,0.144418,0.0752,2.872,2.81005
3,float,uniform,CPU,"P | P | P | P | P | P",192,42,2.56256,0,0.142109,0.081728,2.84671,2.7864
3,float,uniform,CPU,"P | P | P | P | P | P",192,43,2.60093,0,0.142318,0.075552,2.88209,2.8188
3,float,uniform,CPU,"P | P | P | P | P | P",192,44,2.60493,0,0.142008,0.076896,2.88443,2.82383
3,float,uniform,CPU,"P | P | P | P | P | P",192,45,2.58554,0,0.145878,0.0824,2.89686,2.81381
3,float,uniform,CPU,"P | P | P | P | P | P",192,46,2.61462,0,0.142958,0.076736,2.89542,2.83432
3,float,uniform,CPU,"P | P | P | P | P | P",192,47,2.57616,0,0.145528,0.0792,2.87135,2.80089
3,float,uniform,CPU,"P | P | P | P | P | P",192,48,2.6041,0,0.142928,0.076928,2.88368,2.82395
3,float,uniform,CPU,"P | P | P | P | P | P",192,49,2.5729,0,0.143159,0.076224,2.85331,2.79228
3,float,uniform,CPU,"P | P | P | P | P | P",192,50,2.62067,0,0.142759,0.0776,2.90388,2.84103
3,float,uniform,CPU,"P | P | P | P | P | P",192,51,2.61021,0,0.142008,0.074496,2.88672,2.82671
3,float,uniform,CPU,"P | P | P | P | P | P",192,52,2.58368,0,0.142928,0.077728,2.86719,2.80434
3,float,uniform,CPU,"P | P | P | P | P | P",192,53,2.59066,0,0.143888,0.072448,2.86839,2.80699
3,float,uniform,CPU,"P | P | P | P | P | P",192,54,2.70771,0,0.142249,0.076096,2.98754,2.92606
3,float,uniform,CPU,"P | P | P | P | P | P",192,55,2.62899,0,0.142919,0.077344,2.9108,2.84926
3,float,uniform,CPU,"P | P | P | P | P | P",192,56,2.64157,0,0.141459,0.075168,2.91937,2.8582
3,float,uniform,CPU,"P | P | P | P | P | P",192,57,2.59312,0,0.141789,0.07472,2.86758,2.80963
3,float,uniform,CPU,"P | P | P | P | P | P",192,58,2.69482,0,0.14346,0.074976,2.97431,2.91325
3,float,uniform,CPU,"P | P | P | P | P | P",192,59,2.58346,0,0.141689,0.075776,2.86155,2.80092
3,float,uniform,CPU,"P | P | P | P | P | P",192,60,2.65066,0,0.139439,0.07904,2.92253,2.86914
3,float,uniform,CPU,"P | P | P | P | P | P",192,61,2.80237,0,0.142518,0.074464,3.07795,3.01935
3,float,uniform,CPU,"P | P | P | P | P | P",192,62,2.68195,0,0.142548,0.074432,2.96041,2.89893
3,float,uniform,CPU,"P | P | P | P | P | P",192,63,2.64832,0,0.143139,0.07344,2.92818,2.8649
3,float,uniform,CPU,"P | P | P | P | P | P",192,64,2.58666,0,0.143358,0.076768,2.86723,2.80678
3,float,uniform,CPU,"P | P | P | P | P | P",192,65,2.79187,0,0.142158,0.0784,3.07281,3.01243
3,float,uniform,CPU,"P | P | P | P | P | P",192,66,2.62144,0,0.142468,0.074272,2.8993,2.83818
3,float,uniform,CPU,"P | P | P | P | P | P",192,67,2.82259,0,0.147419,0.081216,3.13346,3.05123
3,float,uniform,CPU,"P | P | P | P | P | P",192,68,2.72931,0,0.14263,0.078976,3.00906,2.95092
3,float,uniform,CPU,"P | P | P | P | P | P",192,69,2.64448,0,0.147009,0.081984,2.95734,2.87347
3,float,uniform,CPU,"P | P | P | P | P | P",192,70,2.6823,0,0.142848,0.075232,2.96266,2.90038
3,float,uniform,CPU,"P | P | P | P | P | P",192,71,2.60486,0,0.14384,0.076096,2.88496,2.8248
3,float,uniform,CPU,"P | P | P | P | P | P",192,72,2.72813,0,0.142528,0.077184,3.00766,2.94784
3,float,uniform,CPU,"P | P | P | P | P | P",192,73,2.60118,0,0.142949,0.075744,2.88625,2.81988
3,float,uniform,CPU,"P | P | P | P | P | P",192,74,2.59347,0,0.144458,0.0768,2.87483,2.81473
3,float,uniform,CPU,"P | P | P | P | P | P",256,0,7.47469,0,0.441096,0.336704,8.33912,8.25249
3,float,uniform,CPU,"P | P | P | P | P | P",256,1,6.53952,0,0.436705,0.332544,7.37717,7.30877
3,float,uniform,CPU,"P | P | P | P | P | P",256,2,6.56739,0,0.437235,0.335488,7.4126,7.34012
3,float,uniform,CPU,"P | P | P | P | P | P",256,3,6.84314,0,0.437466,0.334976,7.68742,7.61558
3,float,uniform,CPU,"P | P | P | P | P | P",256,4,6.5873,0,0.436776,0.3328,7.41999,7.35687
3,float,uniform,CPU,"P | P | P | P | P | P",256,5,7.08618,0,0.439745,0.330784,7.93012,7.8567
3,float,uniform,CPU,"P | P | P | P | P | P",256,6,6.72662,0,0.437555,0.332256,7.5564,7.49643
3,float,uniform,CPU,"P | P | P | P | P | P",256,7,6.59197,0,0.439535,0.32928,7.43242,7.36078
3,float,uniform,CPU,"P | P | P | P | P | P",256,8,6.57632,0,0.439675,0.328704,7.41571,7.3447
3,float,uniform,CPU,"P | P | P | P | P | P",256,9,6.84278,0,0.440855,0.332704,7.69109,7.61634
3,float,uniform,CPU,"P | P | P | P | P | P",256,10,6.59158,0,0.438835,0.333216,7.42749,7.36364
3,float,uniform,CPU,"P | P | P | P | P | P",256,11,7.32682,0,0.438235,0.335232,8.18692,8.10028
3,float,uniform,CPU,"P | P | P | P | P | P",256,12,6.48944,0,0.437595,0.328576,7.32934,7.25561
