dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",192,0,6.25862,0.00211,1.6397,0.336224,8.32681,8.23666
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",192,1,5.52602,0.00194,1.63788,0.331072,7.57038,7.49691
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",192,2,5.61002,0.00194,1.63901,0.332576,7.65295,7.58354
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",192,3,5.77683,0.001948,1.64764,0.334304,7.83119,7.76073
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",192,4,5.84365,0.00211,1.63894,0.331328,7.90104,7.81603
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",192,5,5.51232,0.0019,1.6375,0.333056,7.55439,7.48478
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",192,6,5.50438,0.002,1.64337,0.332544,7.55204,7.4823
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",192,7,5.58589,0.00197,1.63228,0.331168,7.61377,7.55131
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",192,8,5.96291,0.00199,1.63769,0.332512,8.00543,7.93511
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",192,9,5.54429,0.00193,1.63673,0.331776,7.58154,7.51472
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",192,10,5.54438,0.00185,1.64244,0.332768,7.59969,7.52144
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",192,11,5.62422,0.00182,1.63749,0.331808,7.66215,7.59534
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",192,12,5.70851,0.00195,1.64974,0.334176,7.76534,7.69438
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",192,13,5.51037,0.002061,1.64107,0.331872,7.55553,7.48537
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",192,14,5.59962,0.00194,1.64043,0.330912,7.63714,7.5729
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",192,15,5.62646,0.001749,1.6366,0.330624,7.66408,7.59544
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",192,16,5.62445,0.002,1.64124,0.332224,7.66676,7.59991
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",192,17,5.5329,0.001781,1.63728,0.331424,7.57369,7.50338
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",192,18,5.58704,0.001919,1.63981,0.3304,7.62578,7.55917
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",192,19,5.74419,0.00179,1.63763,0.33216,7.79077,7.71578
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",192,20,5.5136,0.002061,1.64186,0.331936,7.55974,7.48946
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",192,21,5.56701,0.00184,1.64259,0.333024,7.62167,7.54446
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",192,22,5.43501,0.001941,1.637,0.33072,7.48015,7.40467
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",192,23,5.52819,0.00184,1.64246,0.334144,7.58205,7.50664
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",192,24,5.65379,0.00196,1.64784,0.33264,7.70516,7.63623
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",192,25,5.79162,0.001939,1.63836,0.331904,7.83443,7.76382
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",192,26,5.69091,0.00199,1.63787,0.33008,7.72906,7.66085
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",192,27,5.70234,0.00191,1.63853,0.333536,7.74916,7.67631
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",192,28,5.56835,0.00181,1.64374,0.333888,7.61712,7.54779
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",192,29,5.80006,0.001901,1.63657,0.331232,7.84164,7.76977
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",192,30,5.63206,0.002141,1.64118,0.329504,7.67524,7.60489
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",192,31,5.65021,0.00193,1.63451,0.334144,7.68432,7.62079
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",192,32,5.80077,0.001919,1.63449,0.331392,7.83685,7.76857
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",192,33,5.65949,0.002022,1.63621,0.33168,7.69622,7.6294
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",192,34,5.62899,0.00182,1.64744,0.33504,7.68874,7.6133
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",192,35,5.54134,0.00228,1.64485,0.338624,7.59848,7.5271
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",192,36,5.48125,0.001699,1.63649,0.331168,7.51809,7.45061
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",192,37,5.9223,0.00206,1.64879,0.335712,7.99439,7.90887
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",192,38,5.67818,0.00191,1.63836,0.332608,7.72913,7.65106
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",192,39,5.62512,0.002029,1.64241,0.331808,7.67112,7.60137
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",192,40,5.61786,0.00186,1.6456,0.332672,7.66678,7.59799
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",192,41,5.5976,0.00195,1.63853,0.33216,7.63793,7.57024
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",192,42,5.53898,0.00191,1.63705,0.330272,7.576,7.50821
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",192,43,5.51245,0.00203,1.63657,0.331936,7.55787,7.48299
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",192,44,6.10803,0.00209,1.6455,0.331296,8.17854,8.08692
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",192,45,5.55635,0.00181,1.65505,0.3328,7.6187,7.54602
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",192,46,5.47888,0.0018,1.64402,0.331392,7.52969,7.45609
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",192,47,5.64835,0.001889,1.63751,0.334784,7.68913,7.62254
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",192,48,5.60832,0.001811,1.64111,0.33136,7.65661,7.5826
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",192,49,5.68659,0.00191,1.63792,0.331776,7.72811,7.6582
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",192,50,5.45085,0.001969,1.63664,0.330144,7.49279,7.4196
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",192,51,5.64896,0.002,1.63754,0.332416,7.68828,7.62092
