dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"D | D | D | D | D | D",128,72,1.51398,0,2.13011,0.059808,3.77401,3.7039
3,double,uniform,CPU,"D | D | D | D | D | D",128,73,1.59152,0,2.13123,0.061472,3.83333,3.78422
3,double,uniform,CPU,"D | D | D | D | D | D",128,74,1.55286,0,2.13263,0.09024,3.85333,3.77574
3,double,uniform,CPU,"D | D | D | D | D | D",192,0,5.83069,0,7.04588,0.187872,13.1439,13.0644
3,double,uniform,CPU,"D | D | D | D | D | D",192,1,5.79133,0,7.05049,0.187776,13.1075,13.0296
3,double,uniform,CPU,"D | D | D | D | D | D",192,2,5.82986,0,7.04683,0.185376,13.1277,13.0621
3,double,uniform,CPU,"D | D | D | D | D | D",192,3,5.95645,0,7.04426,0.185504,13.2436,13.1862
3,double,uniform,CPU,"D | D | D | D | D | D",192,4,5.904,0,7.0517,0.188256,13.2179,13.144
3,double,uniform,CPU,"D | D | D | D | D | D",192,5,5.93398,0,7.04824,0.188448,13.245,13.1707
3,double,uniform,CPU,"D | D | D | D | D | D",192,6,5.96854,0,7.0493,0.18656,13.2759,13.2044
3,double,uniform,CPU,"D | D | D | D | D | D",192,7,5.79485,0,7.04889,0.186592,13.1111,13.0303
3,double,uniform,CPU,"D | D | D | D | D | D",192,8,5.91088,0,7.05192,0.187136,13.218,13.1499
3,double,uniform,CPU,"D | D | D | D | D | D",192,9,5.89341,0,7.04893,0.18784,13.2031,13.1302
3,double,uniform,CPU,"D | D | D | D | D | D",192,10,5.9592,0,7.05426,0.185888,13.2764,13.1993
3,double,uniform,CPU,"D | D | D | D | D | D",192,11,5.97181,0,7.05502,0.188672,13.2794,13.2155
3,double,uniform,CPU,"D | D | D | D | D | D",192,12,5.92739,0,7.04734,0.184768,13.2366,13.1595
3,double,uniform,CPU,"D | D | D | D | D | D",192,13,5.9104,0,7.05235,0.1888,13.222,13.1515
