dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,float,uniform,CPU,"Ds | Ns",192,72,0.03024,0,0.01908,0.005152,0.093779,0.054472
1,float,uniform,CPU,"Ds | Ns",192,73,0.030752,0,0.019059,0.00736,0.095079,0.057171
1,float,uniform,CPU,"Ds | Ns",192,74,0.03024,0,0.019198,0.00544,0.094429,0.054878
1,float,uniform,CPU,"Ds | Ns",256,0,0.063648,0,0.02232,0.011872,0.146058,0.09784
1,float,uniform,CPU,"Ds | Ns",256,1,0.030432,0,0.018759,0.00544,0.092009,0.054631
1,float,uniform,CPU,"Ds | Ns",256,2,0.030944,0,0.01831,0.004672,0.093229,0.053926
1,float,uniform,CPU,"Ds | Ns",256,3,0.030464,0,0.018299,0.005664,0.092879,0.054427
1,float,uniform,CPU,"Ds | Ns",256,4,0.035072,0,0.018951,0.006848,0.098909,0.060871
1,float,uniform,CPU,"Ds | Ns",256,5,0.02848,0,0.018669,0.005568,0.090949,0.052717
1,float,uniform,CPU,"Ds | Ns",256,6,0.030368,0,0.01848,0.0056,0.094219,0.054448
1,float,uniform,CPU,"Ds | Ns",256,7,0.028864,0,0.01568,0.006528,0.083899,0.051072
1,float,uniform,CPU,"Ds | Ns",256,8,0.028896,0,0.01885,0.00592,0.092519,0.053666
1,float,uniform,CPU,"Ds | Ns",256,9,0.030048,0,0.01883,0.007104,0.096399,0.055982
1,float,uniform,CPU,"Ds | Ns",256,10,0.029536,0,0.01835,0.007392,0.093279,0.055278
1,float,uniform,CPU,"Ds | Ns",256,11,0.02992,0,0.01864,0.005664,0.091729,0.054224
1,float,uniform,CPU,"Ds | Ns",256,12,0.030848,0,0.01885,0.007136,0.096708,0.056834
1,float,uniform,CPU,"Ds | Ns",256,13,0.029248,0,0.01823,0.007296,0.093719,0.054774
1,float,uniform,CPU,"Ds | Ns",256,14,0.030784,0,0.01875,0.006976,0.093659,0.05651
1,float,uniform,CPU,"Ds | Ns",256,15,0.030656,0,0.018321,0.006944,0.095519,0.055921
1,float,uniform,CPU,"Ds | Ns",256,16,0.029088,0,0.01964,0.005792,0.092119,0.05452
