dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,float,uniform,GPU,"Ns | Ds",192,21,0.01408,0,0.01923,0.004864,0.07302,0.038174
1,float,uniform,GPU,"Ns | Ds",192,22,0.01024,0,0.01873,0.005408,0.06804,0.034378
1,float,uniform,GPU,"Ns | Ds",192,23,0.010816,0,0.01944,0.005408,0.069329,0.035664
1,float,uniform,GPU,"Ns | Ds",192,24,0.010144,0,0.019029,0.005376,0.068469,0.034549
1,float,uniform,GPU,"Ns | Ds",192,25,0.01088,0,0.015249,0.00656,0.060639,0.032689
1,float,uniform,GPU,"Ns | Ds",192,26,0.011008,0,0.01914,0.0056,0.069229,0.035748
1,float,uniform,GPU,"Ns | Ds",192,27,0.012256,0,0.01883,0.0056,0.071279,0.036686
1,float,uniform,GPU,"Ns | Ds",192,28,0.010336,0,0.018819,0.00528,0.073999,0.034435
1,float,uniform,GPU,"Ns | Ds",192,29,0.012512,0,0.01925,0.005344,0.070859,0.037106
1,float,uniform,GPU,"Ns | Ds",192,30,0.01152,0,0.01921,0.005248,0.069949,0.035978
1,float,uniform,GPU,"Ns | Ds",192,31,0.01024,0,0.018649,0.004512,0.067679,0.033401
1,float,uniform,GPU,"Ns | Ds",192,32,0.008736,0,0.020159,0.004672,0.067199,0.033567
1,float,uniform,GPU,"Ns | Ds",192,33,0.010368,0,0.01889,0.007008,0.0699,0.036266
1,float,uniform,GPU,"Ns | Ds",192,34,0.012832,0,0.018919,0.0064,0.073479,0.038151
1,float,uniform,GPU,"Ns | Ds",192,35,0.014144,0,0.01882,0.005888,0.072319,0.038852
1,float,uniform,GPU,"Ns | Ds",192,36,0.011168,0,0.018749,0.00704,0.070519,0.036957
1,float,uniform,GPU,"Ns | Ds",192,37,0.013248,0,0.019289,0.005472,0.071949,0.038009
1,float,uniform,GPU,"Ns | Ds",192,38,0.010624,0,0.019,0.0056,0.067729,0.035224
1,float,uniform,GPU,"Ns | Ds",192,39,0.012352,0,0.01881,0.004288,0.069569,0.03545
1,float,uniform,GPU,"Ns | Ds",192,40,0.01136,0,0.01887,0.005216,0.068699,0.035446
1,float,uniform,GPU,"Ns | Ds",192,41,0.010976,0,0.01883,0.00512,0.070999,0.034926
1,float,uniform,GPU,"Ns | Ds",192,42,0.013632,0,0.0189,0.005216,0.072279,0.037748
1,float,uniform,GPU,"Ns | Ds",192,43,0.011232,0,0.0194,0.00512,0.0689,0.035752
1,float,uniform,GPU,"Ns | Ds",192,44,0.010912,0,0.019349,0.005216,0.068569,0.035477
1,float,uniform,GPU,"Ns | Ds",192,45,0.009632,0,0.01906,0.004864,0.073989,0.033556
1,float,uniform,GPU,"Ns | Ds",192,46,0.012704,0,0.01885,0.006016,0.07406,0.03757
1,float,uniform,GPU,"Ns | Ds",192,47,0.01024,0,0.019029,0.005632,0.068459,0.034901
1,float,uniform,GPU,"Ns | Ds",192,48,0.011936,0,0.01934,0.005184,0.07151,0.03646
1,float,uniform,GPU,"Ns | Ds",192,49,0.011808,0,0.018859,0.0056,0.069209,0.036267
1,float,uniform,GPU,"Ns | Ds",192,50,0.012512,0,0.019279,0.005248,0.072049,0.037039
1,float,uniform,GPU,"Ns | Ds",192,51,0.009472,0,0.019259,0.005184,0.067889,0.033915
1,float,uniform,GPU,"Ns | Ds",192,52,0.01024,0,0.019079,0.006016,0.076899,0.035335
1,float,uniform,GPU,"Ns | Ds",192,53,0.011776,0,0.01929,0.005824,0.156209,0.03689
1,float,uniform,GPU,"Ns | Ds",192,54,0.010112,0,0.0187,0.00448,0.06668,0.033292
1,float,uniform,GPU,"Ns | Ds",192,55,0.011744,0,0.019349,0.006528,0.072499,0.037621
1,float,uniform,GPU,"Ns | Ds",192,56,0.010688,0,0.01923,0.005184,0.069249,0.035102
1,float,uniform,GPU,"Ns | Ds",192,57,0.010624,0,0.01565,0.006528,0.06298,0.032802
1,float,uniform,GPU,"Ns | Ds",192,58,0.010528,0,0.01887,0.004448,0.067349,0.033846
1,float,uniform,GPU,"Ns | Ds",192,59,0.0112,0,0.02077,0.005984,0.077259,0.037954
1,float,uniform,GPU,"Ns | Ds",192,60,0.010304,0,0.019061,0.006784,0.072089,0.036149
1,float,uniform,GPU,"Ns | Ds",192,61,0.010208,0,0.01884,0.006976,0.068859,0.036024
1,float,uniform,GPU,"Ns | Ds",192,62,0.011648,0,0.01898,0.006272,0.069559,0.0369
1,float,uniform,GPU,"Ns | Ds",192,63,0.012992,0,0.01949,0.005952,0.073239,0.038434
1,float,uniform,GPU,"Ns | Ds",192,64,0.010016,0,0.018931,0.006592,0.069209,0.035539
1,float,uniform,GPU,"Ns | Ds",192,65,0.011744,0,0.018789,0.004576,0.068749,0.035109
1,float,uniform,GPU,"Ns | Ds",192,66,0.010848,0,0.018699,0.004608,0.067989,0.034155
1,float,uniform,GPU,"Ns | Ds",192,67,0.012,0,0.01869,0.005312,0.07064,0.036002
1,float,uniform,GPU,"Ns | Ds",192,68,0.011552,0,0.01956,0.004704,0.070639,0.035816
1,float,uniform,GPU,"Ns | Ds",192,69,0.01344,0,0.01891,0.00448,0.072029,0.03683
1,float,uniform,GPU,"Ns | Ds",192,70,0.010592,0,0.01974,0.005344,0.06938,0.035676
1,float,uniform,GPU,"Ns | Ds",192,71,0.010272,0,0.01895,0.005312,0.06773,0.034534
1,float,uniform,GPU,"Ns | Ds",192,72,0.010432,0,0.01963,0.00576,0.068809,0.035822
1,float,uniform,GPU,"Ns | Ds",192,73,0.012032,0,0.01896,0.005696,0.070849,0.036688
1,float,uniform,GPU,"Ns | Ds",192,74,0.011488,0,0.01924,0.00448,0.0686,0.035208
1,float,uniform,GPU,"Ns | Ds",256,0,0.026304,0,0.02245,0.010592,0.100419,0.059346
1,float,uniform,GPU,"Ns | Ds",256,1,0.010976,0,0.018769,0.005664,0.069029,0.035409
1,float,uniform,GPU,"Ns | Ds",256,2,0.010656,0,0.01851,0.004448,0.06784,0.033614
1,float,uniform,GPU,"Ns | Ds",256,3,0.011392,0,0.01849,0.005952,0.06967,0.035834
1,float,uniform,GPU,"Ns | Ds",256,4,0.010016,0,0.01922,0.005472,0.07005,0.034708
1,float,uniform,GPU,"Ns | Ds",256,5,0.012384,0,0.01878,0.006304,0.07258,0.037468
1,float,uniform,GPU,"Ns | Ds",256,6,0.010848,0,0.01855,0.004384,0.06768,0.033782
1,float,uniform,GPU,"Ns | Ds",256,7,0.009216,0,0.01914,0.004384,0.065699,0.03274
1,float,uniform,GPU,"Ns | Ds",256,8,0.012128,0,0.01822,0.00528,0.070429,0.035628
1,float,uniform,GPU,"Ns | Ds",256,9,0.01184,0,0.01833,0.0064,0.07229,0.03657
1,float,uniform,GPU,"Ns | Ds",256,10,0.011136,0,0.01841,0.004288,0.06734,0.033834
1,float,uniform,GPU,"Ns | Ds",256,11,0.013024,0,0.01857,0.005952,0.07361,0.037546
1,float,uniform,GPU,"Ns | Ds",256,12,0.010464,0,0.01835,0.006784,0.06926,0.035598
1,float,uniform,GPU,"Ns | Ds",256,13,0.010112,0,0.01838,0.003616,0.067659,0.032108
1,float,uniform,GPU,"Ns | Ds",256,14,0.011136,0,0.01818,0.004672,0.068549,0.033988
1,float,uniform,GPU,"Ns | Ds",256,15,0.012704,0,0.01819,0.00368,0.07011,0.034574
1,float,uniform,GPU,"Ns | Ds",256,16,0.0096,0,0.01834,0.00592,0.06842,0.03386
1,float,uniform,GPU,"Ns | Ds",256,17,0.012512,0,0.01814,0.004448,0.07095,0.0351
1,float,uniform,GPU,"Ns | Ds",256,18,0.01056,0,0.015251,0.008384,0.062519,0.034195
1,float,uniform,GPU,"Ns | Ds",256,19,0.010688,0,0.01493,0.006176,0.0598,0.031794
1,float,uniform,GPU,"Ns | Ds",256,20,0.011008,0,0.01481,0.006816,0.06025,0.032634
1,float,uniform,GPU,"Ns | Ds",256,21,0.011584,0,0.01853,0.005632,0.0708,0.035746
1,float,uniform,GPU,"Ns | Ds",256,22,0.011456,0,0.01792,0.004448,0.068919,0.033824
1,float,uniform,GPU,"Ns | Ds",256,23,0.012,0,0.018519,0.00544,0.074829,0.035959
1,float,uniform,GPU,"Ns | Ds",256,24,0.012128,0,0.01864,0.006144,0.07229,0.036912
1,float,uniform,GPU,"Ns | Ds",256,25,0.012256,0,0.01842,0.005824,0.07195,0.0365
1,float,uniform,GPU,"Ns | Ds",256,26,0.009088,0,0.018658,0.004416,0.066779,0.032162
1,float,uniform,GPU,"Ns | Ds",256,27,0.013312,0,0.01878,0.0048,0.069899,0.036892
1,float,uniform,GPU,"Ns | Ds",256,28,0.011296,0,0.01863,0.004512,0.068099,0.034438
1,float,uniform,GPU,"Ns | Ds",256,29,0.011104,0,0.0183,0.005952,0.068859,0.035356
1,float,uniform,GPU,"Ns | Ds",256,30,0.012224,0,0.107839,0.00496,0.161458,0.125023
1,float,uniform,GPU,"Ns | Ds",256,31,0.010112,0,0.019221,0.004576,0.068049,0.033909
1,float,uniform,GPU,"Ns | Ds",256,32,0.01216,0,0.01747,0.0056,0.07221,0.03523
1,float,uniform,GPU,"Ns | Ds",256,33,0.01088,0,0.02148,0.005504,0.07198,0.037864
1,float,uniform,GPU,"Ns | Ds",256,34,0.011008,0,0.019149,0.004416,0.067649,0.034573
