dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"P | P | P | P | D | N",192,42,5.5295,0.00216,1.81699,0.332544,7.75167,7.6812
3,double,uniform,CPU,"P | P | P | P | D | N",192,43,5.45978,0.00208,1.81386,0.329984,7.67643,7.6057
3,double,uniform,CPU,"P | P | P | P | D | N",192,44,5.59107,0.00232,1.8033,0.329376,7.80069,7.72607
3,double,uniform,CPU,"P | P | P | P | D | N",192,45,5.86349,0.00207,1.80844,0.332288,8.09608,8.00629
3,double,uniform,CPU,"P | P | P | P | D | N",192,46,5.40538,0.00201,1.80898,0.332224,7.62094,7.54859
3,double,uniform,CPU,"P | P | P | P | D | N",192,47,5.30861,0.00227,1.80856,0.333408,7.52478,7.45285
3,double,uniform,CPU,"P | P | P | P | D | N",192,48,5.53069,0.00216,1.80415,0.327392,7.73975,7.66439
3,double,uniform,CPU,"P | P | P | P | D | N",192,49,5.4704,0.002099,1.80846,0.331296,7.68477,7.61226
3,double,uniform,CPU,"P | P | P | P | D | N",192,50,5.36003,0.002109,1.80532,0.332832,7.57656,7.50029
3,double,uniform,CPU,"P | P | P | P | D | N",192,51,5.57379,0.002019,1.81399,0.329568,7.7903,7.71937
3,double,uniform,CPU,"P | P | P | P | D | N",192,52,5.70966,0.00219,1.81413,0.331616,7.93236,7.8576
3,double,uniform,CPU,"P | P | P | P | D | N",192,53,5.42918,0.002151,1.80487,0.329312,7.6386,7.56552
3,double,uniform,CPU,"P | P | P | P | D | N",192,54,5.44931,0.00214,1.80175,0.33056,7.65412,7.58376
3,double,uniform,CPU,"P | P | P | P | D | N",192,55,5.55651,0.00216,1.80681,0.33248,7.77227,7.69796
3,double,uniform,CPU,"P | P | P | P | D | N",192,56,5.40093,0.002211,1.80601,0.331776,7.61445,7.54093
3,double,uniform,CPU,"P | P | P | P | D | N",192,57,5.37475,0.002091,1.81291,0.332512,7.59294,7.52226
3,double,uniform,CPU,"P | P | P | P | D | N",192,58,5.44275,0.00205,1.80578,0.332192,7.6563,7.58277
3,double,uniform,CPU,"P | P | P | P | D | N",192,59,5.48598,0.002049,1.80289,0.33008,7.69376,7.621
3,double,uniform,CPU,"P | P | P | P | D | N",192,60,5.43446,0.002331,1.81525,0.33232,7.65854,7.58436
3,double,uniform,CPU,"P | P | P | P | D | N",192,61,5.5641,0.001989,1.80829,0.329632,7.77471,7.70401
3,double,uniform,CPU,"P | P | P | P | D | N",192,62,5.47443,0.00218,1.81359,0.329888,7.69524,7.62009
3,double,uniform,CPU,"P | P | P | P | D | N",192,63,5.37466,0.002229,1.80691,0.332128,7.5892,7.51592
3,double,uniform,CPU,"P | P | P | P | D | N",192,64,5.51539,0.0023,1.81094,0.33344,7.73604,7.66207
3,double,uniform,CPU,"P | P | P | P | D | N",192,65,5.2695,0.00221,1.80295,0.332832,7.48315,7.4075
3,double,uniform,CPU,"P | P | P | P | D | N",192,66,5.69174,0.00211,1.81586,0.334336,7.91641,7.84405
3,double,uniform,CPU,"P | P | P | P | D | N",192,67,5.6344,0.00234,1.80405,0.330912,7.84302,7.7717
3,double,uniform,CPU,"P | P | P | P | D | N",192,68,5.44445,0.002259,1.81039,0.33136,7.66724,7.58846
3,double,uniform,CPU,"P | P | P | P | D | N",192,69,5.59133,0.0022,1.80825,0.333184,7.80522,7.73496
3,double,uniform,CPU,"P | P | P | P | D | N",192,70,5.45242,0.00213,1.80304,0.330368,7.66112,7.58795
3,double,uniform,CPU,"P | P | P | P | D | N",192,71,5.36797,0.00209,1.82224,0.331968,7.5975,7.52427
3,double,uniform,CPU,"P | P | P | P | D | N",192,72,5.67142,0.002271,1.81402,0.334592,7.89515,7.82231
3,double,uniform,CPU,"P | P | P | P | D | N",192,73,5.73984,0.00231,1.80333,0.330304,7.94458,7.87578
3,double,uniform,CPU,"P | P | P | P | D | N",192,74,5.58317,0.00203,1.81371,0.330528,7.80102,7.72944
3,double,uniform,CPU,"P | P | P | P | D | N",256,0,14.727,0.00244,4.74231,0.903776,20.4718,20.3755
3,double,uniform,CPU,"P | P | P | P | D | N",256,1,13.4308,0.002469,4.73006,0.900704,19.2028,19.0641
3,double,uniform,CPU,"P | P | P | P | D | N",256,2,13.2388,0.00249,4.74073,0.903328,18.9675,18.8854
3,double,uniform,CPU,"P | P | P | P | D | N",256,3,13.3334,0.0023,4.72782,0.90384,19.0493,18.9674
