dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,32,0.067648,0,0.14638,0.051456,0.324017,0.265484
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,33,0.056992,0,0.142798,0.047648,0.299257,0.247438
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,34,0.065984,0,0.145218,0.059776,0.325356,0.270978
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,35,0.057728,0,0.143278,0.0496,0.303107,0.250606
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,36,0.050272,0,0.140798,0.04928,0.293276,0.24035
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,37,0.051808,0,0.141859,0.048544,0.295577,0.242211
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,38,0.062144,0,0.145148,0.051904,0.311766,0.259196
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,39,0.051456,0,0.141498,0.0488,0.294847,0.241754
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,40,0.04976,0,0.141018,0.048032,0.292577,0.23881
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,41,0.063616,0,0.145269,0.05168,0.312647,0.260565
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,42,0.06048,0,0.143799,0.04912,0.306017,0.253399
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,43,0.066368,0,0.141378,0.052192,0.305846,0.259938
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,44,0.055776,0,0.14239,0.05072,0.303697,0.248886
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,45,0.0512,0,0.140879,0.04928,0.294457,0.241359
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,46,0.04944,0,0.140078,0.048448,0.291057,0.237966
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,47,0.059488,0,0.143199,0.050592,0.306887,0.253279
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,48,0.06304,0,0.144038,0.051488,0.311087,0.258566
