dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",192,26,5.35744,0.00176,1.56477,0.331744,7.32232,7.25572
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",192,27,5.65021,0.00222,1.55953,0.333376,7.61737,7.54534
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",192,28,5.49565,0.002291,1.55581,0.330336,7.45353,7.38409
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",192,29,5.62202,0.00207,1.5562,0.326144,7.57565,7.50643
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",192,30,5.42806,0.002339,1.5678,0.331744,7.39718,7.32995
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",192,31,5.62189,0.00215,1.59285,0.332992,7.62389,7.54988
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",192,32,5.52346,0.00204,1.56805,0.334688,7.49844,7.42824
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",192,33,5.44854,0.00198,1.55841,0.329824,7.4105,7.33876
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",192,34,5.55299,0.002191,1.56398,0.334496,7.51973,7.45366
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",192,35,5.44915,0.00206,1.56193,0.33456,7.41461,7.34771
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",192,36,5.93296,0.00213,1.56845,0.335424,7.91202,7.83897
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",192,37,5.4584,0.00217,1.57038,0.332992,7.4331,7.36395
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",192,38,5.52701,0.00224,1.55718,0.332416,7.49095,7.41885
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",192,39,5.52707,0.00219,1.56198,0.33664,7.49756,7.42788
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",192,40,5.57142,0.00211,1.56151,0.33232,7.54019,7.46737
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",192,41,5.9929,0.00231,1.57045,0.335296,7.9911,7.90095
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",192,42,5.588,0.002349,1.55847,0.332,7.57081,7.48082
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",192,43,5.49085,0.00204,1.57027,0.333248,7.46913,7.39641
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",192,44,5.51206,0.002188,1.55646,0.330656,7.47046,7.40137
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",192,45,6.0609,0.0024,1.57188,0.335488,8.0581,7.97067
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",192,46,5.59648,0.00223,1.56165,0.336704,7.57756,7.49707
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",192,47,5.47728,0.00204,1.55576,0.334656,7.44036,7.36974
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",192,48,5.42781,0.00221,1.56632,0.333984,7.40148,7.33032
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",192,49,5.4433,0.002141,1.5566,0.32928,7.40031,7.33132
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",192,50,5.46016,0.002,1.55554,0.331232,7.41747,7.34893
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",192,51,5.41283,0.00232,1.57054,0.332736,7.38963,7.31843
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",192,52,5.49622,0.00199,1.55693,0.330432,7.4566,7.38558
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",192,53,5.73536,0.00232,1.55835,0.330784,7.69769,7.62682
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",192,54,5.54922,0.00185,1.56877,0.330464,7.51515,7.4503
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",192,55,5.36576,0.00199,1.55727,0.331264,7.33039,7.25629
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",192,56,5.85459,0.002109,1.56946,0.332768,7.82629,7.75893
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",192,57,5.38374,0.00204,1.56764,0.334304,7.35881,7.28773
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",192,58,5.79789,0.00256,1.56411,0.332448,7.76827,7.69701
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",192,59,5.44502,0.002179,1.56487,0.333312,7.41328,7.34539
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",192,60,5.44221,0.002199,1.56655,0.335136,7.41225,7.3461
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",192,61,5.76282,0.00223,1.57,0.333696,7.75674,7.66875
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",192,62,5.73533,0.002131,1.56657,0.332256,7.70487,7.63629
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",192,63,5.47242,0.00224,1.56095,0.333248,7.43557,7.36886
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",192,64,5.42899,0.0019,1.56461,0.33136,7.39607,7.32687
