dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,float,uniform,CPU,"P | P",192,72,0.01952,0,0.01765,0.015136,0.099149,0.052306
1,float,uniform,CPU,"P | P",192,73,0.027232,0,0.018079,0.014816,0.106649,0.060127
1,float,uniform,CPU,"P | P",192,74,0.019904,0,0.01751,0.014272,0.097608,0.051686
1,float,uniform,CPU,"P | P",256,0,0.025664,0,0.02152,0.031648,0.133068,0.078832
1,float,uniform,CPU,"P | P",256,1,0.021792,0,0.01818,0.016768,0.101069,0.05674
1,float,uniform,CPU,"P | P",256,2,0.022208,0,0.01758,0.016,0.103189,0.055788
1,float,uniform,CPU,"P | P",256,3,0.021344,0,0.018309,0.016576,0.101719,0.056229
1,float,uniform,CPU,"P | P",256,4,0.021472,0,0.017869,0.018048,0.104699,0.057389
1,float,uniform,CPU,"P | P",256,5,0.019904,0,0.01775,0.015808,0.100579,0.053462
1,float,uniform,CPU,"P | P",256,6,0.021344,0,0.01794,0.01504,0.099879,0.054324
1,float,uniform,CPU,"P | P",256,7,0.020384,0,0.018,0.017568,0.101339,0.055952
1,float,uniform,CPU,"P | P",256,8,0.018592,0,0.01414,0.016608,0.085999,0.04934
1,float,uniform,CPU,"P | P",256,9,0.019168,0,0.01797,0.016992,0.100969,0.05413
1,float,uniform,CPU,"P | P",256,10,0.0192,0,0.01791,0.01664,0.098619,0.05375
1,float,uniform,CPU,"P | P",256,11,0.019392,0,0.01801,0.017824,0.100869,0.055226
1,float,uniform,CPU,"P | P",256,12,0.019872,0,0.01757,0.014912,0.096379,0.052354
1,float,uniform,CPU,"P | P",256,13,0.019808,0,0.017559,0.016288,0.099589,0.053655
1,float,uniform,CPU,"P | P",256,14,0.018464,0,0.01741,0.015296,0.096029,0.05117
1,float,uniform,CPU,"P | P",256,15,0.019232,0,0.01752,0.015616,0.096049,0.052368
1,float,uniform,CPU,"P | P",256,16,0.019616,0,0.017669,0.016576,0.099519,0.053861
1,float,uniform,CPU,"P | P",256,17,0.02128,0,0.018,0.01696,0.101529,0.05624
1,float,uniform,CPU,"P | P",256,18,0.018432,0,0.0175,0.013856,0.093839,0.049788
1,float,uniform,CPU,"P | P",256,19,0.018304,0,0.017399,0.014336,0.094749,0.050039
1,float,uniform,CPU,"P | P",256,20,0.019136,0,0.017949,0.014688,0.097699,0.051773
1,float,uniform,CPU,"P | P",256,21,0.018816,0,0.0158,0.014816,0.089669,0.049432
1,float,uniform,CPU,"P | P",256,22,0.019456,0,0.01752,0.016352,0.098639,0.053328
1,float,uniform,CPU,"P | P",256,23,0.018688,0,0.01763,0.0144,0.095259,0.050718
1,float,uniform,CPU,"P | P",256,24,0.018816,0,0.01755,0.015264,0.096709,0.05163
1,float,uniform,CPU,"P | P",256,25,0.020096,0,0.017689,0.015648,0.097009,0.053433
1,float,uniform,CPU,"P | P",256,26,0.018976,0,0.01777,0.012896,0.098379,0.049642
1,float,uniform,CPU,"P | P",256,27,0.027072,0,0.01752,0.016128,0.105599,0.06072
1,float,uniform,CPU,"P | P",256,28,0.019904,0,0.01777,0.015616,0.098659,0.05329
1,float,uniform,CPU,"P | P",256,29,0.021888,0,0.01782,0.014656,0.101939,0.054364
1,float,uniform,CPU,"P | P",256,30,0.021408,0,0.01827,0.017376,0.104529,0.057054
1,float,uniform,CPU,"P | P",256,31,0.018432,0,0.01805,0.01632,0.098459,0.052802
1,float,uniform,CPU,"P | P",256,32,0.019872,0,0.01749,0.015968,0.101698,0.05333
1,float,uniform,CPU,"P | P",256,33,0.019776,0,0.01855,0.01488,0.098319,0.053206
1,float,uniform,CPU,"P | P",256,34,0.02016,0,0.01835,0.018368,0.101859,0.056878
1,float,uniform,CPU,"P | P",256,35,0.02016,0,0.01774,0.015808,0.098589,0.053708
1,float,uniform,CPU,"P | P",256,36,0.01952,0,0.01773,0.015936,0.100998,0.053186
1,float,uniform,CPU,"P | P",256,37,0.019584,0,0.01771,0.017248,0.099649,0.054542
1,float,uniform,CPU,"P | P",256,38,0.020736,0,0.018149,0.015712,0.106529,0.054597
1,float,uniform,CPU,"P | P",256,39,0.019232,0,0.101508,0.013728,0.178458,0.134468
1,float,uniform,CPU,"P | P",256,40,0.020992,0,0.01785,0.016768,0.100009,0.05561
1,float,uniform,CPU,"P | P",256,41,0.01952,0,0.017439,0.013088,0.093959,0.050047
1,float,uniform,CPU,"P | P",256,42,0.01872,0,0.01738,0.014208,0.094669,0.050308
1,float,uniform,CPU,"P | P",256,43,0.019264,0,0.01788,0.015328,0.098109,0.052472
1,float,uniform,CPU,"P | P",256,44,0.020288,0,0.01792,0.016,0.101968,0.054208
1,float,uniform,CPU,"P | P",256,45,0.018944,0,0.017529,0.015008,0.097219,0.051481
1,float,uniform,CPU,"P | P",256,46,0.01936,0,0.017489,0.015648,0.097389,0.052497
1,float,uniform,CPU,"P | P",256,47,0.019776,0,0.017859,0.015136,0.096379,0.052771
1,float,uniform,CPU,"P | P",256,48,0.018688,0,0.017539,0.014848,0.095889,0.051075
1,float,uniform,CPU,"P | P",256,49,0.019744,0,0.0174,0.016128,0.098039,0.053272
1,float,uniform,CPU,"P | P",256,50,0.018752,0,0.01785,0.013408,0.09451,0.05001
1,float,uniform,CPU,"P | P",256,51,0.020416,0,0.01763,0.01824,0.100019,0.056286
1,float,uniform,CPU,"P | P",256,52,0.019072,0,0.01757,0.014592,0.096029,0.051234
1,float,uniform,CPU,"P | P",256,53,0.01984,0,0.01783,0.015136,0.096449,0.052806
1,float,uniform,CPU,"P | P",256,54,0.020576,0,0.01725,0.017216,0.100149,0.055042
1,float,uniform,CPU,"P | P",256,55,0.020192,0,0.01774,0.013056,0.095799,0.050988
1,float,uniform,CPU,"P | P",256,56,0.020672,0,0.01752,0.015584,0.100159,0.053776
