dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",128,39,0.033312,0.00152,0.07555,0.020224,0.184288,0.130606
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",128,40,0.025696,0.00156,0.076329,0.020128,0.177447,0.123713
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",128,41,0.026912,0.00154,0.077308,0.02032,0.178908,0.12608
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",128,42,0.027392,0.00166,0.075779,0.018752,0.177508,0.123583
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",128,43,0.033952,0.001621,0.076249,0.019584,0.186348,0.131406
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",128,44,0.026176,0.00151,0.076048,0.018784,0.179358,0.122518
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",128,45,0.033664,0.00187,0.075528,0.020192,0.185658,0.131254
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",128,46,0.033856,0.0015,0.076539,0.020448,0.187378,0.132343
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",128,47,0.026816,0.001649,0.07661,0.02064,0.180348,0.125715
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",128,48,0.039808,0.00189,0.086448,0.027744,0.211348,0.15589
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",128,49,0.03328,0.00155,0.07621,0.02048,0.185758,0.13152
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",128,50,0.035136,0.00176,0.06966,0.021984,0.176427,0.12854
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",128,51,0.027776,0.00159,0.076679,0.017984,0.177798,0.124029
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",128,52,0.033728,0.001481,0.075979,0.019296,0.184758,0.130484
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",128,53,0.033184,0.00146,0.07691,0.018528,0.184668,0.130082
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",128,54,0.026368,0.00149,0.075809,0.019712,0.176269,0.123379
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",128,55,0.026176,0.00151,0.075659,0.01872,0.175938,0.122065
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",128,56,0.027008,0.00144,0.076209,0.021216,0.179468,0.125873
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",128,57,0.026176,0.001729,0.078199,0.01904,0.180778,0.125144
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",128,58,0.026336,0.00149,0.07618,0.019424,0.176989,0.12343
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",128,59,0.032736,0.001511,0.075609,0.019968,0.184438,0.129824
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",128,60,0.04176,0.00191,0.085949,0.025632,0.209058,0.155251
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",128,61,0.025984,0.00151,0.0762,0.01888,0.177068,0.122574
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",128,62,0.033536,0.00159,0.075529,0.018592,0.183358,0.129247
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",128,63,0.034496,0.00151,0.075869,0.01968,0.192298,0.131555
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",128,64,0.034784,0.001551,0.069629,0.021152,0.174348,0.127116
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",128,65,0.03344,0.00158,0.075629,0.019136,0.183498,0.129785
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",128,66,0.033376,0.00149,0.07652,0.020576,0.185228,0.131962
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",128,67,0.02672,0.00173,0.07662,0.018144,0.178488,0.123214
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",128,68,0.027072,0.00157,0.068169,0.024,0.167418,0.120811
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",128,69,0.033504,0.001489,0.07524,0.018752,0.182328,0.128985
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",128,70,0.026848,0.00154,0.076469,0.020224,0.178538,0.125081
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",128,71,0.027136,0.001579,0.076559,0.018816,0.178238,0.12409
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",128,72,0.032896,0.00151,0.075608,0.020672,0.184788,0.130686
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",128,73,0.026176,0.00155,0.076778,0.018848,0.178158,0.123352
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",128,74,0.026112,0.001459,0.076128,0.019456,0.176858,0.123155
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",192,0,0.065856,0.00213,0.159138,0.052768,0.334726,0.279892
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",192,1,0.054016,0.001931,0.155379,0.049536,0.316677,0.260862
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",192,2,0.065216,0.00193,0.159949,0.05312,0.334576,0.280215
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",192,3,0.0656,0.00199,0.160189,0.053696,0.335876,0.281475
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",192,4,0.056512,0.001891,0.155518,0.04848,0.319607,0.262401
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",192,5,0.066432,0.00186,0.159379,0.04976,0.333976,0.277431
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",192,6,0.053408,0.00157,0.154848,0.050912,0.314227,0.260738
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",192,7,0.049824,0.00149,0.215038,0.048448,0.369375,0.3148
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",192,8,0.048704,0.00157,0.151839,0.048096,0.305036,0.250209
