dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,double,uniform,CPU,"N | N",192,66,0.119328,0,0.07957,0.007776,0.249627,0.206674
1,double,uniform,CPU,"N | N",192,67,0.030528,0,0.079009,0.008512,0.161178,0.118049
1,double,uniform,CPU,"N | N",192,68,0.033376,0,0.07928,0.006848,0.161398,0.119504
1,double,uniform,CPU,"N | N",192,69,0.027136,0,0.080499,0.007232,0.157188,0.114867
1,double,uniform,CPU,"N | N",192,70,0.02912,0,0.075929,0.009824,0.148219,0.114873
1,double,uniform,CPU,"N | N",192,71,0.025984,0,0.075469,0.010496,0.146399,0.111949
1,double,uniform,CPU,"N | N",192,72,0.030112,0,0.079219,0.006304,0.157459,0.115635
1,double,uniform,CPU,"N | N",192,73,0.032576,0,0.07911,0.007872,0.160988,0.119558
1,double,uniform,CPU,"N | N",192,74,0.0304,0,0.079549,0.00816,0.160549,0.118109
1,double,uniform,CPU,"N | N",256,0,0.055648,0,0.076439,0.01232,0.196578,0.144407
1,double,uniform,CPU,"N | N",256,1,0.03424,0,0.072869,0.008416,0.158398,0.115525
1,double,uniform,CPU,"N | N",256,2,0.029376,0,0.07263,0.007616,0.150299,0.109622
1,double,uniform,CPU,"N | N",256,3,0.028192,0,0.06996,0.010528,0.140968,0.10868
1,double,uniform,CPU,"N | N",256,4,0.030784,0,0.072919,0.007776,0.154029,0.111479
1,double,uniform,CPU,"N | N",256,5,0.027808,0,0.072659,0.008192,0.150318,0.108659
1,double,uniform,CPU,"N | N",256,6,0.030912,0,0.07266,0.008096,0.153749,0.111668
1,double,uniform,CPU,"N | N",256,7,0.03136,0,0.072649,0.00736,0.152679,0.111369
1,double,uniform,CPU,"N | N",256,8,0.029536,0,0.071439,0.008096,0.146239,0.109071
1,double,uniform,CPU,"N | N",256,9,0.030304,0,0.169998,0.007456,0.249918,0.207758
1,double,uniform,CPU,"N | N",256,10,0.02832,0,0.07028,0.010752,0.143508,0.109352
1,double,uniform,CPU,"N | N",256,11,0.029248,0,0.07273,0.007264,0.152308,0.109242
1,double,uniform,CPU,"N | N",256,12,0.028704,0,0.072208,0.008032,0.149629,0.108944
1,double,uniform,CPU,"N | N",256,13,0.030624,0,0.072609,0.00832,0.155269,0.111553
1,double,uniform,CPU,"N | N",256,14,0.031392,0,0.072549,0.008992,0.154439,0.112933
1,double,uniform,CPU,"N | N",256,15,0.030464,0,0.072529,0.007584,0.154699,0.110577
1,double,uniform,CPU,"N | N",256,16,0.034304,0,0.07228,0.007712,0.155008,0.114296
1,double,uniform,CPU,"N | N",256,17,0.031264,0,0.072459,0.006784,0.152159,0.110507
1,double,uniform,CPU,"N | N",256,18,0.029568,0,0.07276,0.006784,0.150869,0.109112
1,double,uniform,CPU,"N | N",256,19,0.028832,0,0.07243,0.008512,0.151688,0.109774
1,double,uniform,CPU,"N | N",256,20,0.029024,0,0.072449,0.007488,0.150959,0.108961
1,double,uniform,CPU,"N | N",256,21,0.030432,0,0.072629,0.008288,0.154139,0.111349
1,double,uniform,CPU,"N | N",256,22,0.030656,0,0.07275,0.0096,0.152938,0.113006
1,double,uniform,CPU,"N | N",256,23,0.029952,0,0.073219,0.007968,0.151729,0.111139
1,double,uniform,CPU,"N | N",256,24,0.031712,0,0.072779,0.008672,0.155199,0.113163
