dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",192,29,2.60035,0.00188,0.164977,0.076992,2.90076,2.8442
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",192,30,2.5879,0.001751,0.167106,0.075584,2.89323,2.83234
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",192,31,2.58134,0.00177,0.169218,0.073792,2.88208,2.82612
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",192,32,2.65414,0.00213,0.181877,0.084224,3.00155,2.92237
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",192,33,2.57526,0.00168,0.16844,0.078848,2.8809,2.82423
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",192,34,2.56051,0.00169,0.164208,0.077152,2.85789,2.80356
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",192,35,2.5745,0.002049,0.166308,0.077984,2.88238,2.82084
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",192,36,2.61782,0.00178,0.166979,0.07536,2.92091,2.86194
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",192,37,2.61622,0.00183,0.169129,0.076064,2.91855,2.86325
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",192,38,2.5832,0.00208,0.16912,0.0848,2.90597,2.8392
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",192,39,2.61488,0.00183,0.170127,0.078496,2.92409,2.86533
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",192,40,2.61766,0.001771,0.169196,0.075264,2.92089,2.86389
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",192,41,2.59594,0.00162,0.167868,0.075328,2.8985,2.84075
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",192,42,2.65648,0.00175,0.16408,0.077664,2.95417,2.89997
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",192,43,2.66499,0.00207,0.182726,0.084,3.01443,2.93379
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",192,44,2.65494,0.00194,0.167949,0.07776,2.96413,2.90259
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",192,45,2.59155,0.00166,0.169197,0.07648,2.89581,2.83889
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",192,46,2.57184,0.0016,0.16822,0.077568,2.87917,2.81923
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",192,47,2.54416,0.00171,0.166917,0.07568,2.84359,2.78847
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",192,48,2.53066,0.00194,0.15703,0.078368,2.81429,2.76799
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",192,49,2.72006,0.00199,0.168537,0.076064,3.02847,2.96666
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",192,50,2.58858,0.0016,0.169028,0.07456,2.89691,2.83376
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",192,51,2.56947,0.00163,0.16775,0.074336,2.86747,2.81319
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",192,52,2.64992,0.001591,0.16632,0.075424,2.95069,2.89325
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",192,53,2.57501,0.00172,0.165967,0.07712,2.87776,2.81981
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",192,54,2.63984,0.0017,0.16705,0.076064,2.94436,2.88465
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",192,55,2.60006,0.001859,0.1676,0.076992,2.90488,2.84651
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",192,56,2.61776,0.001739,0.170389,0.075424,2.92335,2.86531
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",192,57,2.72218,0.00173,0.16753,0.075968,3.02461,2.9674
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",192,58,2.56586,0.001709,0.166048,0.075328,2.86598,2.80894
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",192,59,2.5801,0.001801,0.165009,0.075872,2.88034,2.82278
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",192,60,2.59472,0.00178,0.169569,0.074624,2.90381,2.84069
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",192,61,2.64035,0.0017,0.167419,0.075168,2.94123,2.88464
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",192,62,2.59952,0.0021,0.1817,0.08256,2.94501,2.86588
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",192,63,2.57741,0.00167,0.167867,0.078816,2.8843,2.82576
