dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
1,double,uniform,PoisFFT,"N | N",320,32,       0.007829
1,double,uniform,PoisFFT,"N | N",320,33,       0.007880
1,double,uniform,PoisFFT,"N | N",320,34,       0.007850
1,double,uniform,PoisFFT,"N | N",320,35,       0.007830
1,double,uniform,PoisFFT,"N | N",320,36,       0.007880
1,double,uniform,PoisFFT,"N | N",320,37,       0.007870
1,double,uniform,PoisFFT,"N | N",320,38,       0.007880
1,double,uniform,PoisFFT,"N | N",320,39,       0.007849
1,double,uniform,PoisFFT,"N | N",320,40,       0.007890
1,double,uniform,PoisFFT,"N | N",320,41,       0.007860
1,double,uniform,PoisFFT,"N | N",320,42,       0.007960
1,double,uniform,PoisFFT,"N | N",320,43,       0.007830
1,double,uniform,PoisFFT,"N | N",320,44,       0.007880
1,double,uniform,PoisFFT,"N | N",320,45,       0.007889
1,double,uniform,PoisFFT,"N | N",320,46,       0.007879
1,double,uniform,PoisFFT,"N | N",320,47,       0.007850
1,double,uniform,PoisFFT,"N | N",320,48,       0.007900
1,double,uniform,PoisFFT,"N | N",320,49,       0.007840
1,double,uniform,PoisFFT,"N | N",320,50,       0.007850
1,double,uniform,PoisFFT,"N | N",320,51,       0.007890
1,double,uniform,PoisFFT,"N | N",320,52,       0.007829
1,double,uniform,PoisFFT,"N | N",320,53,       0.007910
1,double,uniform,PoisFFT,"N | N",320,54,       0.007850
1,double,uniform,PoisFFT,"N | N",320,55,       0.007830
1,double,uniform,PoisFFT,"N | N",320,56,       0.007850
1,double,uniform,PoisFFT,"N | N",320,57,       0.007880
1,double,uniform,PoisFFT,"N | N",320,58,       0.007870
1,double,uniform,PoisFFT,"N | N",320,59,       0.007889
1,double,uniform,PoisFFT,"N | N",320,60,       0.007870
1,double,uniform,PoisFFT,"N | N",320,61,       0.007890
1,double,uniform,PoisFFT,"N | N",320,62,       0.007870
1,double,uniform,PoisFFT,"N | N",320,63,       0.007840
1,double,uniform,PoisFFT,"N | N",320,64,       0.008270
1,double,uniform,PoisFFT,"N | N",320,65,       0.008080
1,double,uniform,PoisFFT,"N | N",320,66,       0.007920
1,double,uniform,PoisFFT,"N | N",320,67,       0.007880
1,double,uniform,PoisFFT,"N | N",320,68,       0.007940
1,double,uniform,PoisFFT,"N | N",320,69,       0.007860
1,double,uniform,PoisFFT,"N | N",320,70,       0.008060
1,double,uniform,PoisFFT,"N | N",320,71,       0.007830
1,double,uniform,PoisFFT,"N | N",320,72,       0.007870
1,double,uniform,PoisFFT,"N | N",320,73,       0.007880
1,double,uniform,PoisFFT,"N | N",320,74,       0.007890
1,double,uniform,PoisFFT,"N | N",384,0,       0.029260
1,double,uniform,PoisFFT,"N | N",384,1,       0.028089
1,double,uniform,PoisFFT,"N | N",384,2,       0.027910
1,double,uniform,PoisFFT,"N | N",384,3,       0.027989
1,double,uniform,PoisFFT,"N | N",384,4,       0.028820
1,double,uniform,PoisFFT,"N | N",384,5,       0.027709
1,double,uniform,PoisFFT,"N | N",384,6,       0.027819
1,double,uniform,PoisFFT,"N | N",384,7,       0.027690
1,double,uniform,PoisFFT,"N | N",384,8,       0.027860
1,double,uniform,PoisFFT,"N | N",384,9,       0.027710
1,double,uniform,PoisFFT,"N | N",384,10,       0.027790
1,double,uniform,PoisFFT,"N | N",384,11,       0.027789
1,double,uniform,PoisFFT,"N | N",384,12,       0.027630
1,double,uniform,PoisFFT,"N | N",384,13,       0.028889
1,double,uniform,PoisFFT,"N | N",384,14,       0.027699
1,double,uniform,PoisFFT,"N | N",384,15,       0.027900
1,double,uniform,PoisFFT,"N | N",384,16,       0.027850
1,double,uniform,PoisFFT,"N | N",384,17,       0.027930
1,double,uniform,PoisFFT,"N | N",384,18,       0.027740
1,double,uniform,PoisFFT,"N | N",384,19,       0.027659
1,double,uniform,PoisFFT,"N | N",384,20,       0.027700
1,double,uniform,PoisFFT,"N | N",384,21,       0.027710
1,double,uniform,PoisFFT,"N | N",384,22,       0.027810
1,double,uniform,PoisFFT,"N | N",384,23,       0.027730
1,double,uniform,PoisFFT,"N | N",384,24,       0.027700
1,double,uniform,PoisFFT,"N | N",384,25,       0.027630
1,double,uniform,PoisFFT,"N | N",384,26,       0.027730
1,double,uniform,PoisFFT,"N | N",384,27,       0.027740
1,double,uniform,PoisFFT,"N | N",384,28,       0.027760
1,double,uniform,PoisFFT,"N | N",384,29,       0.027820
1,double,uniform,PoisFFT,"N | N",384,30,       0.027819
1,double,uniform,PoisFFT,"N | N",384,31,       0.027730
1,double,uniform,PoisFFT,"N | N",384,32,       0.027709
1,double,uniform,PoisFFT,"N | N",384,33,       0.027749
1,double,uniform,PoisFFT,"N | N",384,34,       0.027730
1,double,uniform,PoisFFT,"N | N",384,35,       0.028020
1,double,uniform,PoisFFT,"N | N",384,36,       0.027850
1,double,uniform,PoisFFT,"N | N",384,37,       0.027780
1,double,uniform,PoisFFT,"N | N",384,38,       0.027709
1,double,uniform,PoisFFT,"N | N",384,39,       0.027840
1,double,uniform,PoisFFT,"N | N",384,40,       0.027889
1,double,uniform,PoisFFT,"N | N",384,41,       0.027770
1,double,uniform,PoisFFT,"N | N",384,42,       0.028060
1,double,uniform,PoisFFT,"N | N",384,43,       0.027989
1,double,uniform,PoisFFT,"N | N",384,44,       0.027760
1,double,uniform,PoisFFT,"N | N",384,45,       0.027730
1,double,uniform,PoisFFT,"N | N",384,46,       0.027769
1,double,uniform,PoisFFT,"N | N",384,47,       0.027970
1,double,uniform,PoisFFT,"N | N",384,48,       0.027760
1,double,uniform,PoisFFT,"N | N",384,49,       0.028050
1,double,uniform,PoisFFT,"N | N",384,50,       0.027650
1,double,uniform,PoisFFT,"N | N",384,51,       0.027919
1,double,uniform,PoisFFT,"N | N",384,52,       0.027720
1,double,uniform,PoisFFT,"N | N",384,53,       0.027930
1,double,uniform,PoisFFT,"N | N",384,54,       0.028109
1,double,uniform,PoisFFT,"N | N",384,55,       0.027680
1,double,uniform,PoisFFT,"N | N",384,56,       0.027890
1,double,uniform,PoisFFT,"N | N",384,57,       0.027789
1,double,uniform,PoisFFT,"N | N",384,58,       0.027720
1,double,uniform,PoisFFT,"N | N",384,59,       0.027979
1,double,uniform,PoisFFT,"N | N",384,60,       0.027779
1,double,uniform,PoisFFT,"N | N",384,61,       0.027940
1,double,uniform,PoisFFT,"N | N",384,62,       0.027779
1,double,uniform,PoisFFT,"N | N",384,63,       0.028110
1,double,uniform,PoisFFT,"N | N",384,64,       0.027770
1,double,uniform,PoisFFT,"N | N",384,65,       0.027769
1,double,uniform,PoisFFT,"N | N",384,66,       0.027720
1,double,uniform,PoisFFT,"N | N",384,67,       0.027699
1,double,uniform,PoisFFT,"N | N",384,68,       0.027890
1,double,uniform,PoisFFT,"N | N",384,69,       0.028330
1,double,uniform,PoisFFT,"N | N",384,70,       0.027710
1,double,uniform,PoisFFT,"N | N",384,71,       0.027759
1,double,uniform,PoisFFT,"N | N",384,72,       0.027630
1,double,uniform,PoisFFT,"N | N",384,73,       0.027660
1,double,uniform,PoisFFT,"N | N",384,74,       0.027809
1,double,uniform,PoisFFT,"N | N",448,0,       0.038670
1,double,uniform,PoisFFT,"N | N",448,1,       0.038219
1,double,uniform,PoisFFT,"N | N",448,2,       0.038230
1,double,uniform,PoisFFT,"N | N",448,3,       0.042429
1,double,uniform,PoisFFT,"N | N",448,4,       0.038340
1,double,uniform,PoisFFT,"N | N",448,5,       0.038179
1,double,uniform,PoisFFT,"N | N",448,6,       0.038180
1,double,uniform,PoisFFT,"N | N",448,7,       0.038199
1,double,uniform,PoisFFT,"N | N",448,8,       0.038170
