dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",320,11,      43.032337
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",320,12,      43.075037
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",320,13,      43.184876
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",320,14,      42.933658
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",320,15,      43.439533
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",320,16,      43.286124
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",320,17,      42.462194
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",320,18,      42.488554
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",320,19,      43.123707
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",320,20,      42.445363
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",320,21,      43.145236
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",320,22,      42.635762
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",320,23,      42.817599
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",320,24,      43.319224
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",320,25,      43.076807
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",320,26,      42.680101
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",320,27,      42.856879
