dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",320,16,      99.542736
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",320,17,      73.738371
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",320,18,      74.604651
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",320,19,      74.110056
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",320,20,      73.832399
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",320,21,      73.839929
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",320,22,      74.125156
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",320,23,      74.485712
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",320,24,      74.192765
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",320,25,      74.112506
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",320,26,      74.022487
3,double,uniform,PoisFFT,"Ns | Ns | P | P | P | P",320,27,      74.163006
