dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
1,double,uniform,PoisFFT,"D | D",384,18,       0.005980
1,double,uniform,PoisFFT,"D | D",384,19,       0.005969
1,double,uniform,PoisFFT,"D | D",384,20,       0.006150
1,double,uniform,PoisFFT,"D | D",384,21,       0.005980
1,double,uniform,PoisFFT,"D | D",384,22,       0.005930
1,double,uniform,PoisFFT,"D | D",384,23,       0.005900
1,double,uniform,PoisFFT,"D | D",384,24,       0.005990
1,double,uniform,PoisFFT,"D | D",384,25,       0.005950
1,double,uniform,PoisFFT,"D | D",384,26,       0.006290
1,double,uniform,PoisFFT,"D | D",384,27,       0.005969
1,double,uniform,PoisFFT,"D | D",384,28,       0.005980
1,double,uniform,PoisFFT,"D | D",384,29,       0.005990
1,double,uniform,PoisFFT,"D | D",384,30,       0.005930
1,double,uniform,PoisFFT,"D | D",384,31,       0.005960
1,double,uniform,PoisFFT,"D | D",384,32,       0.005920
1,double,uniform,PoisFFT,"D | D",384,33,       0.005960
1,double,uniform,PoisFFT,"D | D",384,34,       0.005980
1,double,uniform,PoisFFT,"D | D",384,35,       0.005959
1,double,uniform,PoisFFT,"D | D",384,36,       0.005950
1,double,uniform,PoisFFT,"D | D",384,37,       0.005930
1,double,uniform,PoisFFT,"D | D",384,38,       0.005990
1,double,uniform,PoisFFT,"D | D",384,39,       0.005960
1,double,uniform,PoisFFT,"D | D",384,40,       0.005940
1,double,uniform,PoisFFT,"D | D",384,41,       0.005970
1,double,uniform,PoisFFT,"D | D",384,42,       0.005949
1,double,uniform,PoisFFT,"D | D",384,43,       0.005920
1,double,uniform,PoisFFT,"D | D",384,44,       0.005960
1,double,uniform,PoisFFT,"D | D",384,45,       0.005940
1,double,uniform,PoisFFT,"D | D",384,46,       0.005980
1,double,uniform,PoisFFT,"D | D",384,47,       0.005970
1,double,uniform,PoisFFT,"D | D",384,48,       0.005980
1,double,uniform,PoisFFT,"D | D",384,49,       0.005949
1,double,uniform,PoisFFT,"D | D",384,50,       0.005971
1,double,uniform,PoisFFT,"D | D",384,51,       0.005940
1,double,uniform,PoisFFT,"D | D",384,52,       0.005940
1,double,uniform,PoisFFT,"D | D",384,53,       0.006020
1,double,uniform,PoisFFT,"D | D",384,54,       0.006050
1,double,uniform,PoisFFT,"D | D",384,55,       0.005910
1,double,uniform,PoisFFT,"D | D",384,56,       0.005970
1,double,uniform,PoisFFT,"D | D",384,57,       0.005919
1,double,uniform,PoisFFT,"D | D",384,58,       0.006020
1,double,uniform,PoisFFT,"D | D",384,59,       0.005950
1,double,uniform,PoisFFT,"D | D",384,60,       0.006000
1,double,uniform,PoisFFT,"D | D",384,61,       0.005950
1,double,uniform,PoisFFT,"D | D",384,62,       0.005970
1,double,uniform,PoisFFT,"D | D",384,63,       0.006000
1,double,uniform,PoisFFT,"D | D",384,64,       0.005980
1,double,uniform,PoisFFT,"D | D",384,65,       0.005960
1,double,uniform,PoisFFT,"D | D",384,66,       0.005959
1,double,uniform,PoisFFT,"D | D",384,67,       0.005930
1,double,uniform,PoisFFT,"D | D",384,68,       0.005990
1,double,uniform,PoisFFT,"D | D",384,69,       0.005960
1,double,uniform,PoisFFT,"D | D",384,70,       0.006000
1,double,uniform,PoisFFT,"D | D",384,71,       0.005970
1,double,uniform,PoisFFT,"D | D",384,72,       0.005970
1,double,uniform,PoisFFT,"D | D",384,73,       0.006040
1,double,uniform,PoisFFT,"D | D",384,74,       0.006020
1,double,uniform,PoisFFT,"D | D",448,0,       0.026440
1,double,uniform,PoisFFT,"D | D",448,1,       0.025000
1,double,uniform,PoisFFT,"D | D",448,2,       0.024900
1,double,uniform,PoisFFT,"D | D",448,3,       0.024870
1,double,uniform,PoisFFT,"D | D",448,4,       0.024970
1,double,uniform,PoisFFT,"D | D",448,5,       0.026279
1,double,uniform,PoisFFT,"D | D",448,6,       0.024850
1,double,uniform,PoisFFT,"D | D",448,7,       0.024840
1,double,uniform,PoisFFT,"D | D",448,8,       0.024819
