dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"N | D | N | N | N | N",320,17,     194.727124
3,double,uniform,PoisFFT,"N | D | N | N | N | N",320,18,     193.709586
3,double,uniform,PoisFFT,"N | D | N | N | N | N",320,19,     201.540449
3,double,uniform,PoisFFT,"N | D | N | N | N | N",320,20,     193.710316
3,double,uniform,PoisFFT,"N | D | N | N | N | N",320,21,     194.850573
3,double,uniform,PoisFFT,"N | D | N | N | N | N",320,22,     192.629938
3,double,uniform,PoisFFT,"N | D | N | N | N | N",320,23,     262.698739
3,double,uniform,PoisFFT,"N | D | N | N | N | N",320,24,     191.408941
3,double,uniform,PoisFFT,"N | D | N | N | N | N",320,25,     191.436391
3,double,uniform,PoisFFT,"N | D | N | N | N | N",320,26,     194.549556
3,double,uniform,PoisFFT,"N | D | N | N | N | N",320,27,     191.048216
3,double,uniform,PoisFFT,"N | D | N | N | N | N",320,28,     188.826090
3,double,uniform,PoisFFT,"N | D | N | N | N | N",320,29,     269.282525
3,double,uniform,PoisFFT,"N | D | N | N | N | N",320,30,     234.636981
3,double,uniform,PoisFFT,"N | D | N | N | N | N",320,31,     191.525850
3,double,uniform,PoisFFT,"N | D | N | N | N | N",320,32,     235.138166
3,double,uniform,PoisFFT,"N | D | N | N | N | N",320,33,     191.761248
3,double,uniform,PoisFFT,"N | D | N | N | N | N",320,34,     192.484580
3,double,uniform,PoisFFT,"N | D | N | N | N | N",320,35,     193.088323
3,double,uniform,PoisFFT,"N | D | N | N | N | N",320,36,     268.663113
3,double,uniform,PoisFFT,"N | D | N | N | N | N",320,37,     262.218724
3,double,uniform,PoisFFT,"N | D | N | N | N | N",320,38,     189.881378
3,double,uniform,PoisFFT,"N | D | N | N | N | N",320,39,     195.010091
3,double,uniform,PoisFFT,"N | D | N | N | N | N",320,40,     191.156024
3,double,uniform,PoisFFT,"N | D | N | N | N | N",320,41,     190.190065
3,double,uniform,PoisFFT,"N | D | N | N | N | N",320,42,     190.520931
3,double,uniform,PoisFFT,"N | D | N | N | N | N",320,43,     190.402673
3,double,uniform,PoisFFT,"N | D | N | N | N | N",320,44,     189.268285
3,double,uniform,PoisFFT,"N | D | N | N | N | N",320,45,     266.315069
3,double,uniform,PoisFFT,"N | D | N | N | N | N",320,46,     189.305324
3,double,uniform,PoisFFT,"N | D | N | N | N | N",320,47,     191.285293
3,double,uniform,PoisFFT,"N | D | N | N | N | N",320,48,     189.913268
3,double,uniform,PoisFFT,"N | D | N | N | N | N",320,49,     268.733842
3,double,uniform,PoisFFT,"N | D | N | N | N | N",320,50,     244.255254
3,double,uniform,PoisFFT,"N | D | N | N | N | N",320,51,     194.211290
3,double,uniform,PoisFFT,"N | D | N | N | N | N",320,52,     195.710734
3,double,uniform,PoisFFT,"N | D | N | N | N | N",320,53,     200.151875
3,double,uniform,PoisFFT,"N | D | N | N | N | N",320,54,     195.152510
3,double,uniform,PoisFFT,"N | D | N | N | N | N",320,55,     189.835699
3,double,uniform,PoisFFT,"N | D | N | N | N | N",320,56,     192.204662
3,double,uniform,PoisFFT,"N | D | N | N | N | N",320,57,     189.212576
3,double,uniform,PoisFFT,"N | D | N | N | N | N",320,58,     268.507614
3,double,uniform,PoisFFT,"N | D | N | N | N | N",320,59,     191.695138
3,double,uniform,PoisFFT,"N | D | N | N | N | N",320,60,     194.485218
3,double,uniform,PoisFFT,"N | D | N | N | N | N",320,61,     191.546490
